Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00002800 -0.09% ⋁,0.00002803 -0.19% ⋁,0.00002801 -0.12% ⋁,0.00002799 -0.04% ⋁,0.00002749 1.78% ⋀,0.00002689 4.06% ⋀,0.00002713 3.14% ⋀
Exponential Moving Average (10),0.00002801 -0.10% ⋁,0.00002800 -0.08% ⋁,0.00002797 0.03% ⋀,0.00002784 0.52% ⋀,0.00002759 1.40% ⋀,0.00002730 2.50% ⋀,0.00002748 1.83% ⋀
Simple Moving Average (20),0.00002804 -0.20% ⋁,0.00002795 0.12% ⋀,0.00002786 0.41% ⋀,0.00002728 2.58% ⋀,0.00002690 4.03% ⋀,0.00002718 2.93% ⋀,0.00002772 0.95% ⋀
Exponential Moving Average (20),0.00002801 -0.09% ⋁,0.00002799 -0.03% ⋁,0.00002778 0.74% ⋀,0.00002748 1.80% ⋀,0.00002731 2.45% ⋀,0.00002715 3.05% ⋀,0.00002814 -0.57% ⋁
Simple Moving Average (30),0.00002801 -0.12% ⋁,0.00002797 0.03% ⋀,0.00002749 1.77% ⋀,0.00002689 4.04% ⋀,0.00002722 2.79% ⋀,0.00002721 2.83% ⋀,0.00002988 -6.37% ⋁
Exponential Moving Average (30),0.00002800 -0.06% ⋁,0.00002798 0.02% ⋀,0.00002756 1.51% ⋀,0.00002730 2.48% ⋀,0.00002723 2.76% ⋀,0.00002718 2.94% ⋀,0.00002870 -2.51% ⋁
Simple Moving Average (50),0.00002794 0.14% ⋀,0.00002802 -0.15% ⋁,0.00002693 3.89% ⋀,0.00002699 3.69% ⋀,0.00002710 3.23% ⋀,0.00002701 3.58% ⋀,0.00002989 -6.38% ⋁
Exponential Moving Average (50),0.00002799 -0.02% ⋁,0.00002791 0.26% ⋀,0.00002730 2.49% ⋀,0.00002718 2.95% ⋀,0.00002729 2.53% ⋀,0.00002747 1.87% ⋀,0.00002949 -5.13% ⋁
Simple Moving Average (100),0.00002800 -0.08% ⋁,0.00002768 1.09% ⋀,0.00002696 3.77% ⋀,0.00002706 3.38% ⋀,0.00002751 1.72% ⋀,0.00002910 -3.85% ⋁,0.00003073 -8.96% ⋁
Exponential Moving Average (100),0.00002794 0.13% ⋀,0.00002762 1.32% ⋀,0.00002708 3.32% ⋀,0.00002724 2.73% ⋀,0.00002791 0.25% ⋀,0.00002831 -1.18% ⋁,0.00003162 -11.53% ⋁
Simple Moving Average (200),0.00002784 0.49% ⋀,0.00002690 4.02% ⋀,0.00002704 3.47% ⋀,0.00002750 1.76% ⋀,0.00002976 -5.97% ⋁,0.00002981 -6.14% ⋁,0.00003671 -23.77% ⋁
Exponential Moving Average (200),0.00002773 0.91% ⋀,0.00002724 2.72% ⋀,0.00002702 3.56% ⋀,0.00002822 -0.84% ⋁,0.00002868 -2.44% ⋁,0.00002883 -2.94% ⋁,0.00003638 -23.08% ⋁
Summary,Up: 4 Down: 8 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),48.31NE,49.97NE,59.77NE,63.14NE,62.29NE,60.02NE,47.45NE
"Stochastic K (14,3,3)",47.41NE,65.82NE,63.86NE,84.47OB,88.06OB,89.24OB,50.68NE
Commodity Channel Index (20),-65.89NE,24.28NE,37.37NE,72.90NE,114.61OB,67.18NE,15.42NE
Williams %R (14),-51.72NE,-44.19NE,-50.75NE,-15.96OB,-13.39OB,-13.39OB,-25.33NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000028040.00002804OS,0.000028170.00002773NE,0.000028610.00002712NE,0.000028890.00002566NE,0.000028500.00002529NE,0.000028870.00002549NE,0.000030150.00002528NE
Summary,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
