Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),20.5520 0.23% ⋀,20.4380 0.79% ⋀,20.2830 1.56% ⋀,20.3080 1.44% ⋀,20.0470 2.76% ⋀,19.6420 4.88% ⋀,19.2270 7.14% ⋀
Exponential Moving Average (10),20.5355 0.31% ⋀,20.4224 0.87% ⋀,20.3165 1.40% ⋀,20.2625 1.67% ⋀,20.0731 2.62% ⋀,19.8075 4.00% ⋀,19.6376 4.90% ⋀
Simple Moving Average (20),20.4270 0.85% ⋀,20.2035 1.96% ⋀,20.2075 1.94% ⋀,19.8940 3.55% ⋀,19.4160 6.10% ⋀,19.4315 6.01% ⋀,19.6580 4.79% ⋀
Exponential Moving Average (20),20.4691 0.64% ⋀,20.3223 1.37% ⋀,20.1730 2.12% ⋀,19.9719 3.14% ⋀,19.7267 4.43% ⋀,19.5211 5.53% ⋀,20.4736 0.62% ⋀
Simple Moving Average (30),20.4387 0.79% ⋀,20.2203 1.88% ⋀,20.0503 2.74% ⋀,19.5747 5.24% ⋀,19.4597 5.86% ⋀,19.3303 6.57% ⋀,21.3817 -3.66% ⋁
Exponential Moving Average (30),20.4135 0.91% ⋀,20.2763 1.60% ⋀,20.0270 2.86% ⋀,19.7728 4.18% ⋀,19.5595 5.32% ⋀,19.4512 5.91% ⋀,21.6228 -4.73% ⋁
Simple Moving Average (50),20.2454 1.75% ⋀,20.2482 1.74% ⋀,19.6798 4.68% ⋀,19.3860 6.26% ⋀,19.2394 7.07% ⋀,19.1548 7.54% ⋀,25.3028 -18.59% ⋁
Exponential Moving Average (50),20.3397 1.28% ⋀,20.2162 1.90% ⋀,19.7940 4.07% ⋀,19.5515 5.36% ⋀,19.4976 5.65% ⋀,19.6805 4.67% ⋀,23.3393 -11.74% ⋁
Simple Moving Average (100),20.2144 1.91% ⋀,20.1231 2.37% ⋀,19.3694 6.35% ⋀,19.1988 7.30% ⋀,19.5724 5.25% ⋀,20.7743 -0.84% ⋁,26.2662 -21.57% ⋁
Exponential Moving Average (100),20.2608 1.67% ⋀,20.0506 2.74% ⋀,19.4988 5.65% ⋀,19.4501 5.91% ⋀,20.1424 2.27% ⋀,21.3272 -3.41% ⋁,24.6012 -16.26% ⋁
Simple Moving Average (200),20.2064 1.95% ⋀,19.6478 4.85% ⋀,19.1797 7.41% ⋀,19.5561 5.34% ⋀,22.1809 -7.13% ⋁,25.5160 -19.27% ⋁,24.4547 -15.76% ⋁
Exponential Moving Average (200),20.1782 2.09% ⋀,19.6914 4.61% ⋀,19.3007 6.73% ⋀,20.1370 2.30% ⋀,22.7853 -9.59% ⋁,23.6339 -12.84% ⋁,26.5041 -22.28% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),62.32NE,62.38NE,61.46NE,63.91NE,64.79NE,61.89NE,47.28NE
"Stochastic K (14,3,3)",77.36NE,86.75OB,70.63NE,79.27NE,81.26OB,79.81NE,58.25NE
Commodity Channel Index (20),86.30NE,98.52NE,156.78OB,118.93OB,130.61OB,124.16OB,64.85NE
Williams %R (14),-15.09OB,-10.34OB,-18.25OB,-16.79OB,-9.35OB,-8.24OB,-7.73OB
"Bollinger Bands Upper / Lower (20,2,2)",20.707320.1467NE,20.771319.6357NE,20.668719.7463NE,20.908218.8798NE,20.879317.9527NE,20.639818.2232NE,21.942817.3732NE
Summary,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 2 OS: 0 NE: 3,OB: 1 OS: 0 NE: 4
