Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0000498 0.02% ⋀,0.0000497 0.21% ⋀,0.0000496 0.55% ⋀,0.0000498 0.19% ⋀,0.0000494 0.82% ⋀,0.0000490 1.65% ⋀,0.0000491 1.53% ⋀
Exponential Moving Average (10),0.0000498 0.06% ⋀,0.0000498 0.20% ⋀,0.0000497 0.35% ⋀,0.0000496 0.48% ⋀,0.0000494 0.90% ⋀,0.0000493 1.05% ⋀,0.0000497 0.30% ⋀
Simple Moving Average (20),0.0000498 0.17% ⋀,0.0000496 0.53% ⋀,0.0000496 0.41% ⋀,0.0000493 1.08% ⋀,0.0000487 2.26% ⋀,0.0000489 1.90% ⋀,0.0000511 -2.37% ⋁
Exponential Moving Average (20),0.0000498 0.17% ⋀,0.0000497 0.36% ⋀,0.0000496 0.60% ⋀,0.0000493 1.06% ⋀,0.0000491 1.49% ⋀,0.0000492 1.36% ⋀,0.0000515 -3.16% ⋁
Simple Moving Average (30),0.0000497 0.33% ⋀,0.0000495 0.61% ⋀,0.0000495 0.78% ⋀,0.0000488 2.25% ⋀,0.0000488 2.07% ⋀,0.0000492 1.36% ⋀,0.0000554 -9.97% ⋁
Exponential Moving Average (30),0.0000497 0.28% ⋀,0.0000496 0.41% ⋀,0.0000494 0.91% ⋀,0.0000491 1.43% ⋀,0.0000491 1.55% ⋀,0.0000494 0.97% ⋀,0.0000529 -5.80% ⋁
Simple Moving Average (50),0.0000496 0.54% ⋀,0.0000497 0.29% ⋀,0.0000489 1.84% ⋀,0.0000487 2.38% ⋀,0.0000491 1.51% ⋀,0.0000492 1.24% ⋀,0.0000555 -10.15% ⋁
Exponential Moving Average (50),0.0000497 0.39% ⋀,0.0000496 0.48% ⋀,0.0000492 1.40% ⋀,0.0000490 1.68% ⋀,0.0000495 0.80% ⋀,0.0000503 -0.81% ⋁,0.0000551 -9.57% ⋁
Simple Moving Average (100),0.0000496 0.56% ⋀,0.0000495 0.74% ⋀,0.0000487 2.43% ⋀,0.0000491 1.55% ⋀,0.0000507 -1.76% ⋁,0.0000541 -7.85% ⋁,0.0000589 -15.44% ⋁
Exponential Moving Average (100),0.0000496 0.46% ⋀,0.0000494 0.89% ⋀,0.0000490 1.78% ⋀,0.0000495 0.79% ⋀,0.0000513 -2.88% ⋁,0.0000523 -4.75% ⋁,0.0000595 -16.29% ⋁
Simple Moving Average (200),0.0000497 0.35% ⋀,0.0000489 1.96% ⋀,0.0000491 1.57% ⋀,0.0000507 -1.77% ⋁,0.0000561 -11.21% ⋁,0.0000558 -10.60% ⋁,0.0000693 -28.06% ⋁
Exponential Moving Average (200),0.0000495 0.68% ⋀,0.0000491 1.62% ⋀,0.0000490 1.63% ⋀,0.0000518 -3.83% ⋁,0.0000531 -6.18% ⋁,0.0000544 -8.39% ⋁,0.0000688 -27.59% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),55.92NE,57.58NE,58.34NE,57.95NE,56.72NE,54.15NE,42.36NE
"Stochastic K (14,3,3)",69.57NE,97.69OB,49.07NE,62.63NE,79.45NE,83.50OB,30.89NE
Commodity Channel Index (20),58.54NE,105.37OB,48.23NE,81.44NE,95.83NE,84.75NE,-44.87NE
Williams %R (14),-17.39OB,-5.56OB,-49.31NE,-35.15NE,-17.23OB,-17.23OB,-58.46NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00005000.0000495NE,0.00005000.0000492NE,0.00005040.0000489NE,0.00005040.0000482NE,0.00005070.0000468NE,0.00005050.0000474NE,0.00005710.0000450NE
Summary,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
