Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),157.09 0.01% ⋀,156.92 0.11% ⋀,156.63 0.30% ⋀,156.67 0.27% ⋀,156.45 0.42% ⋀,154.98 1.37% ⋀,151.86 3.45% ⋀
Exponential Moving Average (10),157.00 0.07% ⋀,156.72 0.24% ⋀,156.64 0.29% ⋀,156.57 0.34% ⋀,156.13 0.62% ⋀,155.00 1.35% ⋀,154.39 1.75% ⋀
Simple Moving Average (20),156.81 0.18% ⋀,156.02 0.69% ⋀,156.45 0.41% ⋀,155.89 0.78% ⋀,154.10 1.95% ⋀,153.01 2.67% ⋀,154.35 1.78% ⋀
Exponential Moving Average (20),156.88 0.14% ⋀,156.50 0.38% ⋀,156.39 0.45% ⋀,155.77 0.85% ⋀,154.78 1.50% ⋀,153.62 2.27% ⋀,161.14 -2.50% ⋁
Simple Moving Average (30),156.92 0.11% ⋀,156.14 0.61% ⋀,156.17 0.60% ⋀,154.85 1.46% ⋀,153.29 2.49% ⋀,151.90 3.42% ⋀,170.87 -8.06% ⋁
Exponential Moving Average (30),156.73 0.24% ⋀,156.46 0.41% ⋀,156.02 0.69% ⋀,155.02 1.34% ⋀,153.93 2.06% ⋀,153.33 2.46% ⋀,168.82 -6.94% ⋁
Simple Moving Average (50),156.14 0.62% ⋀,156.83 0.17% ⋀,155.26 1.19% ⋀,153.73 2.19% ⋀,151.81 3.49% ⋀,151.98 3.37% ⋀,194.94 -19.41% ⋁
Exponential Moving Average (50),156.54 0.36% ⋀,156.44 0.42% ⋀,155.23 1.20% ⋀,153.93 2.06% ⋀,153.80 2.15% ⋀,155.40 1.10% ⋀,177.89 -11.68% ⋁
Simple Moving Average (100),156.30 0.51% ⋀,156.45 0.41% ⋀,153.71 2.20% ⋀,151.60 3.63% ⋀,153.75 2.18% ⋀,165.10 -4.85% ⋁,186.34 -15.69% ⋁
Exponential Moving Average (100),156.38 0.46% ⋀,156.14 0.61% ⋀,153.89 2.08% ⋀,153.20 2.54% ⋀,159.34 -1.41% ⋁,166.90 -5.87% ⋁,180.56 -12.99% ⋁
Simple Moving Average (200),156.49 0.39% ⋀,155.22 1.21% ⋀,151.61 3.62% ⋀,153.66 2.24% ⋀,176.80 -11.14% ⋁,195.45 -19.62% ⋁,170.96 -8.11% ⋁
Exponential Moving Average (200),156.37 0.47% ⋀,154.94 1.40% ⋀,153.04 2.65% ⋀,159.55 -1.53% ⋁,176.45 -10.97% ⋁,177.96 -11.72% ⋁,188.61 -16.71% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),55.33NE,55.17NE,54.92NE,56.47NE,58.44NE,57.70NE,43.43NE
"Stochastic K (14,3,3)",61.11NE,77.15NE,55.09NE,55.97NE,69.58NE,72.57NE,58.16NE
Commodity Channel Index (20),52.73NE,66.29NE,45.06NE,81.80NE,95.96NE,82.13NE,33.29NE
Williams %R (14),-27.78NE,-21.95NE,-43.06NE,-43.06NE,-27.93NE,-20.67NE,-26.73NE
"Bollinger Bands Upper / Lower (20,2,2)",157.54156.08NE,158.23153.81NE,158.63154.28NE,158.47153.30NE,160.04148.15NE,159.09146.93NE,165.89142.81NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
