Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),87 -0.02% ⋁,87 -0.03% ⋁,88 -0.89% ⋁,89 -2.57% ⋁,90 -2.92% ⋁,87 -0.03% ⋁,75 16.71% ⋀
Exponential Moving Average (10),87 0.01% ⋀,87 0.04% ⋀,88 -0.98% ⋁,89 -1.58% ⋁,88 -0.78% ⋁,86 1.15% ⋀,77 12.43% ⋀
Simple Moving Average (20),87 0.08% ⋀,87 0.44% ⋀,90 -3.47% ⋁,90 -2.97% ⋁,85 2.25% ⋀,81 7.58% ⋀,70 24.11% ⋀
Exponential Moving Average (20),87 0.03% ⋀,87 -0.10% ⋁,89 -1.98% ⋁,88 -1.08% ⋁,85 2.63% ⋀,81 6.91% ⋀,71 22.98% ⋀
Simple Moving Average (30),87 -0.02% ⋁,87 -0.20% ⋁,91 -4.06% ⋁,87 -0.12% ⋁,81 7.16% ⋀,75 15.38% ⋀,64 35.64% ⋀
Exponential Moving Average (30),87 0.05% ⋀,88 -0.47% ⋁,89 -1.92% ⋁,86 0.71% ⋀,82 6.53% ⋀,78 11.82% ⋀,66 31.14% ⋀
Simple Moving Average (50),87 0.17% ⋀,88 -0.99% ⋁,88 -1.45% ⋁,83 5.49% ⋀,74 17.82% ⋀,69 26.36% ⋀,58 51.40% ⋀
Exponential Moving Average (50),87 -0.02% ⋁,88 -1.32% ⋁,87 -0.38% ⋁,83 4.92% ⋀,77 12.90% ⋀,73 18.87% ⋀,60 44.52% ⋀
Simple Moving Average (100),88 -0.63% ⋁,91 -4.24% ⋁,82 5.60% ⋀,73 18.53% ⋀,69 26.14% ⋀,66 31.46% ⋀,48 79.88% ⋀
Exponential Moving Average (100),88 -0.78% ⋁,89 -2.00% ⋁,83 5.15% ⋀,77 12.82% ⋀,70 24.13% ⋀,67 30.20% ⋀,50 75.15% ⋀
Simple Moving Average (200),89 -2.64% ⋁,88 -1.28% ⋁,73 18.82% ⋀,69 26.47% ⋀,60 44.55% ⋀,56 54.60% ⋀,32 172.34% ⋀
Exponential Moving Average (200),89 -2.52% ⋁,87 -0.03% ⋁,76 14.66% ⋀,71 22.19% ⋀,63 37.78% ⋀,59 47.37% ⋀,-
Summary,Up: 5 Down: 7 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 11 Down: 0 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.72NE,47.93NE,43.62NE,50.27NE,58.07NE,62.31NE,69.12NE
"Stochastic K (14,3,3)",61.22NE,57.05NE,27.18NE,20.41NE,42.60NE,56.46NE,81.44OB
Commodity Channel Index (20),-11.78NE,30.75NE,-72.24NE,-61.56NE,29.95NE,64.26NE,155.16OB
Williams %R (14),-35.22NE,-42.66NE,-70.64NE,-80.91OS,-59.22NE,-42.41NE,-23.80NE
"Bollinger Bands Upper / Lower (20,2,2)",8886NE,8885NE,9783NE,9783NE,9674NE,9567NE,9051NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3
