Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000743 -0.59% ⋁,0.00000746 -0.95% ⋁,0.00000747 -1.03% ⋁,0.00000748 -1.22% ⋁,0.00000743 -0.50% ⋁,0.00000743 -0.50% ⋁,0.00000747 -1.10% ⋁
Exponential Moving Average (10),0.00000745 -0.81% ⋁,0.00000746 -0.95% ⋁,0.00000745 -0.85% ⋁,0.00000745 -0.77% ⋁,0.00000744 -0.71% ⋁,0.00000745 -0.77% ⋁,0.00000748 -1.17% ⋁
Simple Moving Average (20),0.00000752 -1.72% ⋁,0.00000748 -1.20% ⋁,0.00000744 -0.65% ⋁,0.00000740 -0.19% ⋁,0.00000740 -0.11% ⋁,0.00000739 -0.05% ⋁,0.00000756 -2.31% ⋁
Exponential Moving Average (20),0.00000746 -0.91% ⋁,0.00000746 -0.98% ⋁,0.00000744 -0.64% ⋁,0.00000743 -0.56% ⋁,0.00000743 -0.50% ⋁,0.00000744 -0.69% ⋁,0.00000763 -3.18% ⋁
Simple Moving Average (30),0.00000748 -1.23% ⋁,0.00000745 -0.82% ⋁,0.00000741 -0.26% ⋁,0.00000740 -0.19% ⋁,0.00000739 0.01% ⋀,0.00000747 -1.07% ⋁,0.00000794 -6.89% ⋁
Exponential Moving Average (30),0.00000745 -0.84% ⋁,0.00000746 -0.88% ⋁,0.00000743 -0.53% ⋁,0.00000743 -0.56% ⋁,0.00000744 -0.62% ⋁,0.00000746 -0.95% ⋁,0.00000779 -5.19% ⋁
Simple Moving Average (50),0.00000742 -0.46% ⋁,0.00000743 -0.51% ⋁,0.00000739 -0.06% ⋁,0.00000741 -0.30% ⋁,0.00000752 -1.76% ⋁,0.00000744 -0.69% ⋁,0.00000804 -8.13% ⋁
Exponential Moving Average (50),0.00000744 -0.71% ⋁,0.00000745 -0.78% ⋁,0.00000743 -0.60% ⋁,0.00000745 -0.82% ⋁,0.00000748 -1.21% ⋁,0.00000754 -1.99% ⋁,0.00000815 -9.27% ⋁
Simple Moving Average (100),0.00000740 -0.08% ⋁,0.00000742 -0.35% ⋁,0.00000755 -2.11% ⋁,0.00000751 -1.63% ⋁,0.00000753 -1.80% ⋁,0.00000795 -7.00% ⋁,0.00000906 -18.43% ⋁
Exponential Moving Average (100),0.00000747 -1.05% ⋁,0.00000747 -1.10% ⋁,0.00000747 -1.09% ⋁,0.00000754 -1.98% ⋁,0.00000763 -3.19% ⋁,0.00000775 -4.66% ⋁,0.00000946 -21.92% ⋁
Simple Moving Average (200),0.00000759 -2.70% ⋁,0.00000759 -2.68% ⋁,0.00000752 -1.72% ⋁,0.00000771 -4.15% ⋁,0.00000806 -8.35% ⋁,0.00000810 -8.80% ⋁,0.00001252 -40.96% ⋁
Exponential Moving Average (200),0.00000754 -1.96% ⋁,0.00000747 -1.05% ⋁,0.00000759 -2.61% ⋁,0.00000781 -5.37% ⋁,0.00000784 -5.77% ⋁,0.00000812 -9.01% ⋁,0.00001115 -33.69% ⋁
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),47.76NE,47.79NE,48.32NE,48.66NE,48.73NE,48.11NE,44.22NE
"Stochastic K (14,3,3)",53.68NE,27.95NE,21.85NE,18.52OS,27.02NE,27.02NE,38.61NE
Commodity Channel Index (20),-70.88NE,-47.93NE,-38.66NE,-12.12NE,-16.85NE,-20.30NE,-56.56NE
Williams %R (14),-72.00NE,-74.07NE,-86.67OS,-86.67OS,-82.11OS,-82.11OS,-68.36NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000007890.00000715NE,0.000007850.00000711NE,0.000007650.00000723NE,0.000007630.00000718NE,0.000007640.00000716NE,0.000007630.00000716NE,0.000008350.00000678NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 2 NE: 3,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5
