Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00006718 0.23% ⋀,0.00006719 0.21% ⋀,0.00006743 -0.15% ⋁,0.00006754 -0.30% ⋁,0.00006751 -0.26% ⋁,0.00006736 -0.04% ⋁,0.00006797 -0.94% ⋁
Exponential Moving Average (10),0.00006720 0.20% ⋀,0.00006720 0.20% ⋀,0.00006736 -0.05% ⋁,0.00006741 -0.11% ⋁,0.00006750 -0.25% ⋁,0.00006765 -0.47% ⋁,0.00006863 -1.89% ⋁
Simple Moving Average (20),0.00006714 0.28% ⋀,0.00006719 0.21% ⋀,0.00006757 -0.36% ⋁,0.00006734 -0.01% ⋁,0.00006759 -0.38% ⋁,0.00006895 -2.35% ⋁,0.00007074 -4.83% ⋁
Exponential Moving Average (20),0.00006718 0.22% ⋀,0.00006726 0.11% ⋀,0.00006742 -0.14% ⋁,0.00006747 -0.21% ⋁,0.00006782 -0.72% ⋁,0.00006801 -1.01% ⋁,0.00006963 -3.30% ⋁
Simple Moving Average (30),0.00006720 0.19% ⋀,0.00006737 -0.06% ⋁,0.00006740 -0.10% ⋁,0.00006737 -0.06% ⋁,0.00006901 -2.43% ⋁,0.00006832 -1.46% ⋁,0.00007507 -10.32% ⋁
Exponential Moving Average (30),0.00006719 0.21% ⋀,0.00006732 0.01% ⋀,0.00006744 -0.16% ⋁,0.00006763 -0.45% ⋁,0.00006805 -1.06% ⋁,0.00006835 -1.50% ⋁,0.00006845 -1.64% ⋁
Simple Moving Average (50),0.00006713 0.29% ⋀,0.00006750 -0.26% ⋁,0.00006724 0.13% ⋀,0.00006835 -1.50% ⋁,0.00006806 -1.07% ⋁,0.00006849 -1.69% ⋁,0.00006615 1.78% ⋀
Exponential Moving Average (50),0.00006723 0.15% ⋀,0.00006740 -0.11% ⋁,0.00006755 -0.32% ⋁,0.00006793 -0.88% ⋁,0.00006856 -1.79% ⋁,0.00006916 -2.64% ⋁,0.00006295 6.96% ⋀
Simple Moving Average (100),0.00006740 -0.11% ⋁,0.00006754 -0.31% ⋁,0.00006847 -1.66% ⋁,0.00006805 -1.05% ⋁,0.00006989 -3.67% ⋁,0.00007300 -7.77% ⋁,0.00004227 59.29% ⋀
Exponential Moving Average (100),0.00006734 -0.02% ⋁,0.00006742 -0.14% ⋁,0.00006779 -0.68% ⋁,0.00006860 -1.86% ⋁,0.00007015 -4.02% ⋁,0.00006888 -2.25% ⋁,0.00005022 34.08% ⋀
Simple Moving Average (200),0.00006755 -0.33% ⋁,0.00006726 0.11% ⋀,0.00006806 -1.07% ⋁,0.00006996 -3.76% ⋁,0.00007405 -9.08% ⋁,0.00006568 2.52% ⋀,0.00003026 122.51% ⋀
Exponential Moving Average (200),0.00006744 -0.16% ⋁,0.00006754 -0.31% ⋁,0.00006828 -1.39% ⋁,0.00007082 -4.93% ⋁,0.00006714 0.28% ⋀,0.00005951 13.14% ⋀,0.00003794 77.46% ⋀
Summary,Up: 8 Down: 4 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 6 Down: 6 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),57.71NE,50.70NE,48.70NE,47.57NE,46.34NE,45.22NE,47.74NE
"Stochastic K (14,3,3)",88.44OB,60.90NE,30.57NE,40.18NE,42.66NE,32.28NE,29.46NE
Commodity Channel Index (20),182.10OB,41.06NE,-104.79OS,-22.39NE,-45.91NE,-61.97NE,-71.57NE
Williams %R (14),-9.80OB,-26.98NE,-58.01NE,-60.70NE,-44.70NE,-63.65NE,-69.80NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000067140.00006714OB,0.000067580.00006680NE,0.000068200.00006694NE,0.000068300.00006637NE,0.000069120.00006606NE,0.000073260.00006464NE,0.000079460.00006203NE
Summary,OB: 4 OS: 0 NE: 1,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
