Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),2.67490 -0.07% ⋁,2.66480 0.31% ⋀,2.60000 2.81% ⋀,2.59190 3.13% ⋀,2.53680 5.37% ⋀,2.41480 10.69% ⋀,2.23980 19.34% ⋀
Exponential Moving Average (10),2.67042 0.10% ⋀,2.65259 0.77% ⋀,2.61082 2.38% ⋀,2.58455 3.42% ⋀,2.53792 5.32% ⋀,2.44895 9.15% ⋀,2.30995 15.72% ⋀
Simple Moving Average (20),2.67015 0.11% ⋀,2.60000 2.81% ⋀,2.58490 3.41% ⋀,2.50250 6.81% ⋀,2.36245 13.15% ⋀,2.30090 16.17% ⋀,2.18415 22.38% ⋀
Exponential Moving Average (20),2.66418 0.33% ⋀,2.62557 1.81% ⋀,2.57299 3.89% ⋀,2.50980 6.50% ⋀,2.42822 10.08% ⋀,2.33901 14.28% ⋀,2.18750 22.19% ⋀
Simple Moving Average (30),2.66397 0.34% ⋀,2.58817 3.28% ⋀,2.54630 4.98% ⋀,2.41227 10.81% ⋀,2.31573 15.43% ⋀,2.23957 19.35% ⋀,2.07327 28.93% ⋀
Exponential Moving Average (30),2.65229 0.78% ⋀,2.61084 2.38% ⋀,2.53427 5.47% ⋀,2.44969 9.12% ⋀,2.35823 13.35% ⋀,2.27717 17.38% ⋀,2.10516 26.97% ⋀
Simple Moving Average (50),2.61470 2.23% ⋀,2.58910 3.24% ⋀,2.44894 9.15% ⋀,2.31718 15.36% ⋀,2.22056 20.38% ⋀,2.13810 25.02% ⋀,1.93344 38.25% ⋀
Exponential Moving Average (50),2.63140 1.58% ⋀,2.59239 3.11% ⋀,2.46609 8.39% ⋀,2.36727 12.91% ⋀,2.27472 17.51% ⋀,2.20438 21.26% ⋀,1.98198 34.87% ⋀
Simple Moving Average (100),2.58966 3.22% ⋀,2.56430 4.24% ⋀,2.31128 15.65% ⋀,2.20752 21.09% ⋀,2.17803 22.73% ⋀,2.09145 27.81% ⋀,1.68145 58.97% ⋀
Exponential Moving Average (100),2.60640 2.56% ⋀,2.54698 4.95% ⋀,2.35641 13.44% ⋀,2.27387 17.55% ⋀,2.16107 23.69% ⋀,2.10018 27.27% ⋀,1.77452 50.63% ⋀
Simple Moving Average (200),2.58600 3.36% ⋀,2.44170 9.47% ⋀,2.20258 21.36% ⋀,2.17149 23.10% ⋀,1.98686 34.53% ⋀,1.91153 39.84% ⋀,1.45649 83.52% ⋀
Exponential Moving Average (200),2.58105 3.56% ⋀,2.44432 9.36% ⋀,2.24037 19.31% ⋀,2.16905 23.23% ⋀,2.04106 30.96% ⋀,1.95543 36.70% ⋀,1.48866 79.56% ⋀
Summary,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),55.44NE,61.77NE,64.94NE,66.02NE,71.93OB,73.19OB,66.96NE
"Stochastic K (14,3,3)",38.53NE,77.91NE,81.92OB,86.50OB,86.66OB,83.86OB,85.07OB
Commodity Channel Index (20),28.32NE,74.53NE,162.95OB,125.16OB,123.04OB,157.85OB,205.43OB
Williams %R (14),-54.55NE,-19.78OB,-14.57OB,-13.38OB,-5.98OB,-5.43OB,-3.70OB
"Bollinger Bands Upper / Lower (20,2,2)",2.695432.64487NE,2.741802.45820NE,2.678752.49105NE,2.735852.26915NE,2.767511.95739NE,2.629641.97216OB,2.578461.78984OB
Summary,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 5 OS: 0 NE: 0,OB: 4 OS: 0 NE: 1
