Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.06096 0.11% ⋀,0.06088 0.25% ⋀,0.06111 -0.13% ⋁,0.06146 -0.70% ⋁,0.06192 -1.44% ⋁,0.06198 -1.53% ⋁,0.06128 -0.41% ⋁
Exponential Moving Average (10),0.06094 0.15% ⋀,0.06087 0.27% ⋀,0.06112 -0.14% ⋁,0.06147 -0.71% ⋁,0.06161 -0.94% ⋁,0.06162 -0.96% ⋁,0.06233 -2.09% ⋁
Simple Moving Average (20),0.06079 0.39% ⋀,0.06069 0.56% ⋀,0.06155 -0.84% ⋁,0.06192 -1.43% ⋁,0.06119 -0.26% ⋁,0.06184 -1.32% ⋁,0.06388 -4.46% ⋁
Exponential Moving Average (20),0.06089 0.24% ⋀,0.06089 0.23% ⋀,0.06146 -0.69% ⋁,0.06169 -1.08% ⋁,0.06185 -1.33% ⋁,0.06185 -1.32% ⋁,0.06538 -6.66% ⋁
Simple Moving Average (30),0.06091 0.20% ⋀,0.06096 0.12% ⋀,0.06205 -1.64% ⋁,0.06209 -1.70% ⋁,0.06201 -1.58% ⋁,0.06276 -2.76% ⋁,0.07405 -17.58% ⋁
Exponential Moving Average (30),0.06086 0.28% ⋀,0.06098 0.08% ⋀,0.06163 -0.97% ⋁,0.06179 -1.23% ⋁,0.06203 -1.61% ⋁,0.06218 -1.85% ⋁,0.06683 -8.68% ⋁
Simple Moving Average (50),0.06071 0.52% ⋀,0.06124 -0.34% ⋁,0.06223 -1.93% ⋁,0.06141 -0.62% ⋁,0.06224 -1.94% ⋁,0.06148 -0.74% ⋁,0.06928 -11.91% ⋁
Exponential Moving Average (50),0.06087 0.26% ⋀,0.06120 -0.28% ⋁,0.06179 -1.23% ⋁,0.06196 -1.51% ⋁,0.06260 -2.51% ⋁,0.06359 -4.03% ⋁,0.06629 -7.94% ⋁
Simple Moving Average (100),0.06106 -0.05% ⋁,0.06202 -1.60% ⋁,0.06149 -0.75% ⋁,0.06214 -1.79% ⋁,0.06329 -3.57% ⋁,0.07070 -13.68% ⋁,0.05870 3.97% ⋀
Exponential Moving Average (100),0.06102 0.02% ⋀,0.06164 -0.99% ⋁,0.06175 -1.17% ⋁,0.06252 -2.38% ⋁,0.06650 -8.23% ⋁,0.06602 -7.56% ⋁,0.06176 -1.18% ⋁
Simple Moving Average (200),0.06138 -0.56% ⋁,0.06221 -1.89% ⋁,0.06207 -1.67% ⋁,0.06336 -3.67% ⋁,0.07773 -21.49% ⋁,0.06933 -11.97% ⋁,0.05353 14.00% ⋀
Exponential Moving Average (200),0.06155 -0.85% ⋁,0.06140 -0.61% ⋁,0.06161 -0.95% ⋁,0.06707 -9.01% ⋁,0.06624 -7.87% ⋁,0.06458 -5.49% ⋁,0.06152 -0.80% ⋁
Summary,Up: 9 Down: 3 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),56.42NE,51.38NE,45.18NE,44.77NE,46.75NE,47.27NE,45.57NE
"Stochastic K (14,3,3)",83.14OB,73.65NE,44.00NE,29.27NE,30.41NE,54.18NE,32.41NE
Commodity Channel Index (20),92.09NE,84.41NE,-69.50NE,-77.70NE,-11.55NE,-56.50NE,-57.96NE
Williams %R (14),-13.79OB,-27.12NE,-50.72NE,-71.69NE,-76.17NE,-45.82NE,-68.33NE
"Bollinger Bands Upper / Lower (20,2,2)",0.061200.06039NE,0.061400.05997NE,0.063000.06009NE,0.063780.06005NE,0.065250.05713NE,0.066200.05749NE,0.074210.05354NE
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
