Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.8619 -0.11% ⋁,0.8639 -0.34% ⋁,0.8750 -1.60% ⋁,0.8795 -2.11% ⋁,0.8894 -3.20% ⋁,0.8993 -4.25% ⋁,0.9160 -6.01% ⋁
Exponential Moving Average (10),0.8620 -0.12% ⋁,0.8638 -0.33% ⋁,0.8724 -1.30% ⋁,0.8776 -1.89% ⋁,0.8851 -2.72% ⋁,0.8965 -3.96% ⋁,0.8878 -3.02% ⋁
Simple Moving Average (20),0.8625 -0.18% ⋁,0.8673 -0.73% ⋁,0.8830 -2.49% ⋁,0.8929 -3.57% ⋁,0.9004 -4.37% ⋁,0.9199 -6.41% ⋁,0.8552 0.68% ⋀
Exponential Moving Average (20),0.8630 -0.23% ⋁,0.8680 -0.81% ⋁,0.8809 -2.26% ⋁,0.8887 -3.12% ⋁,0.8998 -4.31% ⋁,0.9090 -5.28% ⋁,0.8464 1.73% ⋀
Simple Moving Average (30),0.8643 -0.38% ⋁,0.8740 -1.49% ⋁,0.8897 -3.23% ⋁,0.8981 -4.13% ⋁,0.9173 -6.13% ⋁,0.9433 -8.73% ⋁,0.7834 9.91% ⋀
Exponential Moving Average (30),0.8642 -0.37% ⋁,0.8717 -1.23% ⋁,0.8868 -2.91% ⋁,0.8967 -3.98% ⋁,0.9069 -5.06% ⋁,0.9081 -5.19% ⋁,0.8027 7.26% ⋀
Simple Moving Average (50),0.8658 -0.56% ⋁,0.8808 -2.25% ⋁,0.9007 -4.41% ⋁,0.9150 -5.90% ⋁,0.9367 -8.08% ⋁,0.8978 -4.10% ⋁,0.6912 24.56% ⋀
Exponential Moving Average (50),0.8670 -0.70% ⋁,0.8770 -1.82% ⋁,0.8956 -3.86% ⋁,0.9068 -5.05% ⋁,0.9047 -4.83% ⋁,0.8898 -3.24% ⋁,0.7389 16.53% ⋀
Simple Moving Average (100),0.8752 -1.62% ⋁,0.8864 -2.87% ⋁,0.9176 -6.17% ⋁,0.9360 -8.01% ⋁,0.8788 -2.03% ⋁,0.8252 4.34% ⋀,0.6064 41.98% ⋀
Exponential Moving Average (100),0.8728 -1.35% ⋁,0.8858 -2.80% ⋁,0.9108 -5.47% ⋁,0.9079 -5.17% ⋁,0.8625 -0.17% ⋁,0.8278 4.01% ⋀,0.6507 32.32% ⋀
Simple Moving Average (200),0.8826 -2.45% ⋁,0.9010 -4.44% ⋁,0.9355 -7.96% ⋁,0.8780 -1.94% ⋁,0.7534 14.28% ⋀,0.6880 25.15% ⋀,0.5420 58.84% ⋀
Exponential Moving Average (200),0.8797 -2.13% ⋁,0.8942 -3.72% ⋁,0.9029 -4.64% ⋁,0.8699 -1.02% ⋁,0.7809 10.26% ⋀,0.7424 15.98% ⋀,0.6648 29.52% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 10 Down: 2 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),44.93NE,37.31NE,31.70NE,33.14NE,36.07NE,41.51NE,53.11NE
"Stochastic K (14,3,3)",47.22NE,29.72NE,9.04OS,7.60OS,4.04OS,11.34OS,37.35NE
Commodity Channel Index (20),-75.12NE,-99.73NE,-154.16OS,-158.68OS,-144.24OS,-137.61OS,-13.38NE
Williams %R (14),-59.26NE,-74.42NE,-91.44OS,-92.53OS,-95.82OS,-97.00OS,-67.25NE
"Bollinger Bands Upper / Lower (20,2,2)",0.86670.8584NE,0.87750.8572NE,0.90660.8594NE,0.92660.8591NE,0.94480.8559NE,0.98180.8581NE,1.01430.6961NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 0 NE: 5
