Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.7137 0.16% ⋀,0.7135 0.18% ⋀,0.7142 0.09% ⋀,0.7151 -0.04% ⋁,0.7126 0.31% ⋀,0.7015 1.90% ⋀,0.6889 3.76% ⋀
Exponential Moving Average (10),0.7135 0.18% ⋀,0.7128 0.28% ⋀,0.7132 0.22% ⋀,0.7132 0.22% ⋀,0.7100 0.67% ⋀,0.7035 1.60% ⋀,0.7035 1.60% ⋀
Simple Moving Average (20),0.7125 0.33% ⋀,0.7107 0.58% ⋀,0.7141 0.09% ⋀,0.7097 0.72% ⋀,0.6955 2.78% ⋀,0.6910 3.45% ⋀,0.7130 0.26% ⋀
Exponential Moving Average (20),0.7130 0.25% ⋀,0.7124 0.33% ⋀,0.7124 0.34% ⋀,0.7083 0.92% ⋀,0.7017 1.86% ⋀,0.6963 2.65% ⋀,0.7418 -3.64% ⋁
Simple Moving Average (30),0.7134 0.20% ⋀,0.7121 0.38% ⋀,0.7123 0.36% ⋀,0.7006 2.03% ⋀,0.6917 3.35% ⋀,0.6892 3.71% ⋀,0.8063 -11.35% ⋁
Exponential Moving Average (30),0.7127 0.30% ⋀,0.7126 0.30% ⋀,0.7100 0.67% ⋀,0.7036 1.60% ⋀,0.6976 2.47% ⋀,0.6964 2.65% ⋀,0.7826 -8.67% ⋁
Simple Moving Average (50),0.7109 0.55% ⋀,0.7144 0.06% ⋀,0.7048 1.42% ⋀,0.6921 3.27% ⋀,0.6881 3.88% ⋀,0.6911 3.43% ⋀,0.9014 -20.70% ⋁
Exponential Moving Average (50),0.7124 0.34% ⋀,0.7128 0.28% ⋀,0.7048 1.42% ⋀,0.6978 2.44% ⋀,0.6991 2.24% ⋀,0.7102 0.65% ⋀,0.8373 -14.63% ⋁
Simple Moving Average (100),0.7129 0.27% ⋀,0.7137 0.16% ⋀,0.6918 3.33% ⋀,0.6877 3.95% ⋀,0.7074 1.04% ⋀,0.7770 -8.01% ⋁,0.9141 -21.80% ⋁
Exponential Moving Average (100),0.7125 0.32% ⋀,0.7109 0.55% ⋀,0.6970 2.56% ⋀,0.6972 2.53% ⋀,0.7320 -2.35% ⋁,0.7706 -7.24% ⋁,0.8787 -18.65% ⋁
Simple Moving Average (200),0.7137 0.15% ⋀,0.7040 1.53% ⋀,0.6877 3.94% ⋀,0.7077 1.00% ⋀,0.8295 -13.83% ⋁,0.9065 -21.15% ⋁,0.8932 -19.97% ⋁
Exponential Moving Average (200),0.7130 0.25% ⋀,0.7025 1.76% ⋀,0.6940 3.00% ⋀,0.7392 -3.30% ⋁,0.8134 -12.12% ⋁,0.8415 -15.06% ⋁,1.0149 -29.57% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),59.24NE,54.57NE,54.31NE,57.68NE,59.85NE,59.30NE,42.83NE
"Stochastic K (14,3,3)",85.83OB,67.42NE,48.47NE,54.68NE,79.45NE,83.65OB,49.05NE
Commodity Channel Index (20),83.37NE,82.23NE,3.22NE,51.98NE,81.22NE,113.84OB,-2.50NE
Williams %R (14),-2.50OB,-27.70NE,-44.66NE,-44.66NE,-19.15OB,-15.18OB,-28.27NE
"Bollinger Bands Upper / Lower (20,2,2)",0.71610.7089NE,0.71770.7037NE,0.72320.7051NE,0.72630.6931NE,0.73570.6552NE,0.72220.6597NE,0.79410.6319NE
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 0 OS: 0 NE: 5
