Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000929 0.52% ⋀,0.00000931 0.30% ⋀,0.00000928 0.62% ⋀,0.00000925 0.95% ⋀,0.00000922 1.29% ⋀,0.00000915 2.08% ⋀,0.00000919 1.68% ⋀
Exponential Moving Average (10),0.00000930 0.41% ⋀,0.00000930 0.41% ⋀,0.00000929 0.58% ⋀,0.00000926 0.91% ⋀,0.00000923 1.20% ⋀,0.00000921 1.39% ⋀,0.00000930 0.44% ⋀
Simple Moving Average (20),0.00000931 0.35% ⋀,0.00000928 0.64% ⋀,0.00000925 0.94% ⋀,0.00000920 1.55% ⋀,0.00000911 2.50% ⋀,0.00000923 1.19% ⋀,0.00000936 -0.26% ⋁
Exponential Moving Average (20),0.00000930 0.44% ⋀,0.00000929 0.53% ⋀,0.00000925 0.95% ⋀,0.00000921 1.42% ⋀,0.00000920 1.51% ⋀,0.00000920 1.53% ⋀,0.00000946 -1.32% ⋁
Simple Moving Average (30),0.00000931 0.37% ⋀,0.00000928 0.65% ⋀,0.00000922 1.33% ⋀,0.00000912 2.37% ⋀,0.00000923 1.21% ⋀,0.00000924 1.06% ⋀,0.00001004 -6.95% ⋁
Exponential Moving Average (30),0.00000930 0.47% ⋀,0.00000928 0.62% ⋀,0.00000922 1.27% ⋀,0.00000919 1.63% ⋀,0.00000920 1.55% ⋀,0.00000921 1.38% ⋀,0.00000947 -1.36% ⋁
Simple Moving Average (50),0.00000928 0.64% ⋀,0.00000927 0.74% ⋀,0.00000914 2.15% ⋀,0.00000916 1.99% ⋀,0.00000917 1.87% ⋀,0.00000918 1.71% ⋀,0.00000942 -0.89% ⋁
Exponential Moving Average (50),0.00000929 0.54% ⋀,0.00000927 0.79% ⋀,0.00000919 1.63% ⋀,0.00000918 1.69% ⋀,0.00000922 1.25% ⋀,0.00000931 0.28% ⋀,0.00000919 1.65% ⋀
Simple Moving Average (100),0.00000928 0.69% ⋀,0.00000922 1.26% ⋀,0.00000916 2.00% ⋀,0.00000915 2.03% ⋀,0.00000931 0.28% ⋀,0.00000968 -3.47% ⋁,0.00000804 16.22% ⋀
Exponential Moving Average (100),0.00000928 0.70% ⋀,0.00000922 1.27% ⋀,0.00000916 2.01% ⋀,0.00000922 1.32% ⋀,0.00000954 -2.06% ⋁,0.00000934 0.00% ⋁,0.00000840 11.25% ⋀
Simple Moving Average (200),0.00000925 0.99% ⋀,0.00000913 2.27% ⋀,0.00000915 2.10% ⋀,0.00000930 0.38% ⋀,0.00001039 -10.10% ⋁,0.00000930 0.39% ⋀,0.00000713 30.92% ⋀
Exponential Moving Average (200),0.00000925 1.02% ⋀,0.00000915 2.03% ⋀,0.00000917 1.86% ⋀,0.00000946 -1.23% ⋁,0.00000928 0.69% ⋀,0.00000876 6.59% ⋀,0.00000782 19.41% ⋀
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 7 Down: 5 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),59.86NE,58.86NE,59.09NE,61.73NE,57.72NE,54.47NE,48.52NE
"Stochastic K (14,3,3)",66.67NE,46.67NE,63.15NE,74.68NE,87.05OB,78.87NE,40.00NE
Commodity Channel Index (20),59.88NE,95.56NE,129.23OB,134.65OB,128.72OB,34.92NE,-11.12NE
Williams %R (14),-20.00OB,-35.00NE,-30.43NE,-20.59NE,-10.61OB,-11.94OB,-57.20NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000009310.00000931OB,0.000009280.00000928OB,0.000009250.00000925OB,0.000009200.00000920OB,0.000009400.00000883NE,0.000009660.00000880NE,0.000010160.00000856NE
Summary,OB: 2 OS: 0 NE: 3,OB: 1 OS: 0 NE: 4,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5
