Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.05902 3.62% ⋀,0.05902 3.62% ⋀,0.05903 3.61% ⋀,0.05903 3.61% ⋀,0.05882 3.97% ⋀,0.05871 4.18% ⋀,0.05890 3.84% ⋀
Exponential Moving Average (10),0.05911 3.46% ⋀,0.05912 3.44% ⋀,0.05889 3.86% ⋀,0.05889 3.85% ⋀,0.05877 4.06% ⋀,0.05864 4.29% ⋀,0.05933 3.08% ⋀
Simple Moving Average (20),0.05870 4.19% ⋀,0.05859 4.38% ⋀,0.05840 4.73% ⋀,0.05840 4.73% ⋀,0.05820 5.07% ⋀,0.05854 4.48% ⋀,0.06051 1.08% ⋀
Exponential Moving Average (20),0.05897 3.71% ⋀,0.05902 3.61% ⋀,0.05886 3.90% ⋀,0.05889 3.85% ⋀,0.05897 3.71% ⋀,0.05905 3.57% ⋀,0.06188 -1.17% ⋁
Simple Moving Average (30),0.05845 4.63% ⋀,0.05876 4.09% ⋀,0.05897 3.72% ⋀,0.05897 3.72% ⋀,0.05882 3.97% ⋀,0.05904 3.59% ⋀,0.06610 -7.47% ⋁
Exponential Moving Average (30),0.05914 3.40% ⋀,0.05926 3.21% ⋀,0.05919 3.33% ⋀,0.05929 3.16% ⋀,0.05961 2.59% ⋀,0.05999 1.95% ⋀,0.06467 -5.44% ⋁
Simple Moving Average (50),0.05930 3.13% ⋀,0.05943 2.91% ⋀,0.05980 2.27% ⋀,0.06006 1.82% ⋀,0.06120 -0.07% ⋁,0.06165 -0.81% ⋁,0.07270 -15.87% ⋁
Exponential Moving Average (50),0.05992 2.07% ⋀,0.06018 1.63% ⋀,0.06031 1.41% ⋀,0.06060 0.92% ⋀,0.06144 -0.45% ⋁,0.06238 -1.96% ⋁,0.06835 -10.53% ⋁
Simple Moving Average (100),0.06230 -1.83% ⋁,0.06243 -2.03% ⋁,0.06328 -3.35% ⋁,0.06496 -5.85% ⋁,0.06773 -9.70% ⋁,0.06911 -11.50% ⋁,0.07314 -16.39% ⋁
Exponential Moving Average (100),0.06262 -2.33% ⋁,0.06306 -3.02% ⋁,0.06354 -3.75% ⋁,0.06431 -4.91% ⋁,0.06634 -7.81% ⋁,0.06767 -9.62% ⋁,0.07114 -14.03% ⋁
Simple Moving Average (200),0.06855 -10.78% ⋁,0.06957 -12.09% ⋁,0.07067 -13.46% ⋁,0.07194 -14.98% ⋁,0.07550 -19.00% ⋁,0.07704 -20.62% ⋁,0.07146 -14.42% ⋁
Exponential Moving Average (200),0.06697 -8.67% ⋁,0.06794 -9.98% ⋁,0.06967 -12.21% ⋁,0.07120 -14.10% ⋁,0.07172 -14.73% ⋁,0.07077 -13.58% ⋁,0.07617 -19.71% ⋁
Summary,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),53.70NE,53.42NE,53.33NE,53.12NE,52.45NE,51.92NE,47.11NE
"Stochastic K (14,3,3)",30.06NE,30.06NE,30.06NE,30.06NE,30.06NE,29.15NE,33.43NE
Commodity Channel Index (20),103.26OB,99.62NE,105.08OB,105.08OB,117.14OB,93.53NE,-6.47NE
Williams %R (14),-50.13NE,-50.13NE,-50.13NE,-50.13NE,-50.13NE,-50.13NE,-55.92NE
"Bollinger Bands Upper / Lower (20,2,2)",0.062160.05524NE,0.062290.05489NE,0.062160.05463NE,0.062160.05463NE,0.062060.05434NE,0.062870.05421NE,0.068880.05213NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
