Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),182.15 0.27% ⋀,182.31 0.19% ⋀,183.17 -0.29% ⋁,183.62 -0.53% ⋁,183.35 -0.38% ⋁,181.00 0.91% ⋀,183.01 -0.20% ⋁
Exponential Moving Average (10),182.30 0.19% ⋀,182.22 0.24% ⋀,182.84 -0.11% ⋁,183.08 -0.23% ⋁,182.38 0.15% ⋀,182.00 0.36% ⋀,182.94 -0.16% ⋁
Simple Moving Average (20),182.07 0.32% ⋀,181.93 0.39% ⋀,183.49 -0.46% ⋁,183.09 -0.24% ⋁,179.70 1.64% ⋀,181.86 0.43% ⋀,180.58 1.14% ⋀
Exponential Moving Average (20),182.18 0.26% ⋀,182.36 0.16% ⋀,183.10 -0.25% ⋁,182.51 0.08% ⋀,181.79 0.47% ⋀,182.03 0.34% ⋀,187.46 -2.56% ⋁
Simple Moving Average (30),182.27 0.21% ⋀,182.80 -0.08% ⋁,183.97 -0.72% ⋁,180.81 1.02% ⋀,181.55 0.61% ⋀,183.26 -0.33% ⋁,189.94 -3.84% ⋁
Exponential Moving Average (30),182.15 0.27% ⋀,182.59 0.03% ⋀,182.84 -0.10% ⋁,181.99 0.36% ⋀,181.78 0.48% ⋀,182.25 0.22% ⋀,195.38 -6.51% ⋁
Simple Moving Average (50),181.79 0.47% ⋀,183.30 -0.35% ⋁,181.75 0.49% ⋀,180.64 1.11% ⋀,182.95 -0.16% ⋁,184.52 -1.02% ⋁,215.93 -15.41% ⋁
Exponential Moving Average (50),182.25 0.22% ⋀,182.90 -0.14% ⋁,182.15 0.28% ⋀,181.81 0.46% ⋀,182.00 0.35% ⋀,183.25 -0.33% ⋁,210.40 -13.19% ⋁
Simple Moving Average (100),182.99 -0.18% ⋁,183.79 -0.62% ⋁,180.73 1.06% ⋀,182.83 -0.10% ⋁,179.69 1.65% ⋀,184.49 -1.00% ⋁,258.26 -29.28% ⋁
Exponential Moving Average (100),182.64 0.00% ⋀,182.75 -0.06% ⋁,181.76 0.49% ⋀,181.25 0.77% ⋀,185.03 -1.29% ⋁,191.81 -4.78% ⋁,-
Simple Moving Average (200),183.36 -0.39% ⋁,181.44 0.67% ⋀,182.76 -0.06% ⋁,179.68 1.65% ⋀,194.12 -5.91% ⋁,216.97 -15.82% ⋁,-
Exponential Moving Average (200),183.26 -0.33% ⋁,181.13 0.84% ⋀,182.67 -0.01% ⋁,183.33 -0.37% ⋁,200.68 -8.99% ⋁,215.27 -15.15% ⋁,-
Summary,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 4 Down: 8 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 1 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),57.47NE,51.00NE,49.20NE,51.19NE,51.56NE,50.68NE,45.63NE
"Stochastic K (14,3,3)",82.50OB,66.83NE,29.61NE,26.17NE,55.46NE,64.07NE,40.89NE
Commodity Channel Index (20),101.11OB,91.01NE,-50.22NE,-9.74NE,51.44NE,5.02NE,12.55NE
Williams %R (14),-23.11NE,-26.56NE,-61.98NE,-68.63NE,-43.31NE,-35.39NE,-64.38NE
"Bollinger Bands Upper / Lower (20,2,2)",183.15180.99NE,183.36180.50NE,187.28179.70NE,188.26177.92NE,188.08171.31NE,189.81173.91NE,203.16158.00NE
Summary,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
