Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),17.661 -0.29% ⋁,17.586 0.13% ⋀,17.509 0.57% ⋀,17.573 0.21% ⋀,17.345 1.52% ⋀,17.111 2.91% ⋀,17.407 1.16% ⋀
Exponential Moving Average (10),17.604 0.03% ⋀,17.591 0.10% ⋀,17.552 0.32% ⋀,17.523 0.49% ⋀,17.380 1.32% ⋀,17.267 1.98% ⋀,17.499 0.63% ⋀
Simple Moving Average (20),17.517 0.53% ⋀,17.524 0.48% ⋀,17.489 0.69% ⋀,17.340 1.55% ⋀,17.091 3.03% ⋀,17.175 2.53% ⋀,17.758 -0.84% ⋁
Exponential Moving Average (20),17.567 0.24% ⋀,17.553 0.32% ⋀,17.456 0.88% ⋀,17.390 1.26% ⋀,17.297 1.81% ⋀,17.258 2.04% ⋀,18.220 -3.35% ⋁
Simple Moving Average (30),17.510 0.57% ⋀,17.560 0.28% ⋀,17.324 1.65% ⋀,17.161 2.61% ⋀,17.217 2.28% ⋀,17.412 1.13% ⋀,19.105 -7.83% ⋁
Exponential Moving Average (30),17.541 0.39% ⋀,17.514 0.54% ⋀,17.370 1.38% ⋀,17.323 1.65% ⋀,17.309 1.74% ⋀,17.334 1.59% ⋀,19.012 -7.38% ⋁
Simple Moving Average (50),17.576 0.19% ⋀,17.439 0.98% ⋀,17.104 2.95% ⋀,17.133 2.78% ⋀,17.379 1.33% ⋀,17.416 1.11% ⋀,21.085 -16.49% ⋁
Exponential Moving Average (50),17.482 0.72% ⋀,17.425 1.06% ⋀,17.283 1.89% ⋀,17.305 1.75% ⋀,17.425 1.06% ⋀,17.618 -0.05% ⋁,20.300 -13.25% ⋁
Simple Moving Average (100),17.292 1.83% ⋀,17.114 2.89% ⋀,17.228 2.21% ⋀,17.323 1.65% ⋀,17.679 -0.40% ⋁,18.608 -5.37% ⋁,22.764 -22.65% ⋁
Exponential Moving Average (100),17.355 1.46% ⋀,17.313 1.71% ⋀,17.239 2.15% ⋀,17.406 1.16% ⋀,18.022 -2.29% ⋁,18.702 -5.85% ⋁,21.880 -19.52% ⋁
Simple Moving Average (200),17.114 2.89% ⋀,17.248 2.09% ⋀,17.329 1.62% ⋀,17.679 -0.39% ⋁,19.579 -10.06% ⋁,21.184 -16.88% ⋁,23.792 -25.99% ⋁
Exponential Moving Average (200),17.364 1.41% ⋀,17.519 0.51% ⋀,17.462 0.84% ⋀,18.181 -3.15% ⋁,19.566 -10.00% ⋁,20.432 -13.82% ⋁,25.420 -30.73% ⋁
Summary,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),52.40NE,52.97NE,55.22NE,55.46NE,55.02NE,53.20NE,43.63NE
"Stochastic K (14,3,3)",47.34NE,42.47NE,47.63NE,69.21NE,68.94NE,63.89NE,18.01OS
Commodity Channel Index (20),47.83NE,46.15NE,41.69NE,71.07NE,104.40OB,71.18NE,-27.78NE
Williams %R (14),-51.78NE,-51.78NE,-52.56NE,-43.48NE,-24.55NE,-24.55NE,-78.41NE
"Bollinger Bands Upper / Lower (20,2,2)",17.87017.164NE,17.85017.199NE,17.97916.999NE,18.02216.657NE,17.82516.356NE,18.06516.285NE,19.41716.099NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4
