Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.08956 -0.10% ⋁,0.08950 -0.03% ⋁,0.08882 0.74% ⋀,0.08832 1.31% ⋀,0.08715 2.66% ⋀,0.08550 4.64% ⋀,0.08429 6.14% ⋀
Exponential Moving Average (10),0.08951 -0.05% ⋁,0.08933 0.16% ⋀,0.08880 0.75% ⋀,0.08827 1.36% ⋀,0.08730 2.48% ⋀,0.08591 4.14% ⋀,0.08573 4.37% ⋀
Simple Moving Average (20),0.08938 0.10% ⋀,0.08874 0.82% ⋀,0.08801 1.66% ⋀,0.08662 3.29% ⋀,0.08426 6.19% ⋀,0.08328 7.43% ⋀,0.08629 3.68% ⋀
Exponential Moving Average (20),0.08943 0.04% ⋀,0.08904 0.49% ⋀,0.08802 1.65% ⋀,0.08688 2.98% ⋀,0.08560 4.52% ⋀,0.08459 5.77% ⋀,0.08916 0.35% ⋀
Simple Moving Average (30),0.08954 -0.07% ⋁,0.08876 0.80% ⋀,0.08714 2.68% ⋀,0.08537 4.80% ⋀,0.08349 7.16% ⋀,0.08364 6.97% ⋀,0.09381 -4.63% ⋁
Exponential Moving Average (30),0.08932 0.17% ⋀,0.08881 0.74% ⋀,0.08729 2.50% ⋀,0.08588 4.18% ⋀,0.08486 5.43% ⋀,0.08445 5.95% ⋀,0.09340 -4.20% ⋁
Simple Moving Average (50),0.08889 0.65% ⋀,0.08845 1.16% ⋀,0.08592 4.13% ⋀,0.08346 7.20% ⋀,0.08374 6.84% ⋀,0.08409 6.40% ⋀,0.10682 -16.24% ⋁
Exponential Moving Average (50),0.08911 0.40% ⋀,0.08842 1.19% ⋀,0.08611 3.90% ⋀,0.08481 5.50% ⋀,0.08478 5.54% ⋀,0.08569 4.41% ⋀,0.09945 -10.03% ⋁
Simple Moving Average (100),0.08874 0.83% ⋀,0.08746 2.30% ⋀,0.08337 7.32% ⋀,0.08362 6.99% ⋀,0.08564 4.47% ⋀,0.09115 -1.85% ⋁,0.10844 -17.49% ⋁
Exponential Moving Average (100),0.08874 0.82% ⋀,0.08753 2.21% ⋀,0.08473 5.60% ⋀,0.08451 5.87% ⋀,0.08786 1.83% ⋀,0.09214 -2.90% ⋁,0.10224 -12.49% ⋁
Simple Moving Average (200),0.08812 1.54% ⋀,0.08580 4.28% ⋀,0.08360 7.02% ⋀,0.08564 4.47% ⋀,0.09699 -7.75% ⋁,0.10754 -16.80% ⋁,0.09857 -9.23% ⋁
Exponential Moving Average (200),0.08808 1.58% ⋀,0.08562 4.50% ⋀,0.08425 6.20% ⋀,0.08796 1.72% ⋀,0.09736 -8.10% ⋁,0.09986 -10.40% ⋁,0.11311 -20.90% ⋁
Summary,Up: 9 Down: 3 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 4 Down: 8 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),52.53NE,56.82NE,64.51NE,68.59NE,71.71OB,67.68NE,46.58NE
"Stochastic K (14,3,3)",77.29NE,72.95NE,76.72NE,88.01OB,89.19OB,89.01OB,64.12NE
Commodity Channel Index (20),32.70NE,64.71NE,130.34OB,124.22OB,126.76OB,159.60OB,65.34NE
Williams %R (14),-25.63NE,-32.89NE,-25.65NE,-17.16OB,-9.94OB,-6.84OB,-18.51OB
"Bollinger Bands Upper / Lower (20,2,2)",0.090080.08869NE,0.090550.08693NE,0.090110.08591NE,0.090440.08280NE,0.091300.07721NE,0.089200.07737OB,0.094520.07807NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 1 OS: 0 NE: 4
