Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000149 0.54% ⋀,0.00000149 0.67% ⋀,0.00000148 1.21% ⋀,0.00000148 1.42% ⋀,0.00000147 1.76% ⋀,0.00000147 2.32% ⋀,0.00000150 0.00% ⋀
Exponential Moving Average (10),0.00000149 0.57% ⋀,0.00000149 0.62% ⋀,0.00000148 1.03% ⋀,0.00000148 1.31% ⋀,0.00000148 1.40% ⋀,0.00000148 1.56% ⋀,0.00000150 -0.25% ⋁
Simple Moving Average (20),0.00000149 0.64% ⋀,0.00000148 1.04% ⋀,0.00000148 1.59% ⋀,0.00000147 2.15% ⋀,0.00000147 1.76% ⋀,0.00000149 0.91% ⋀,0.00000154 -2.28% ⋁
Exponential Moving Average (20),0.00000149 0.68% ⋀,0.00000149 0.90% ⋀,0.00000148 1.48% ⋀,0.00000148 1.67% ⋀,0.00000148 1.34% ⋀,0.00000148 1.09% ⋀,0.00000153 -1.93% ⋁
Simple Moving Average (30),0.00000149 0.81% ⋀,0.00000148 1.24% ⋀,0.00000147 2.04% ⋀,0.00000147 2.30% ⋀,0.00000149 0.85% ⋀,0.00000149 0.36% ⋀,0.00000158 -5.32% ⋁
Exponential Moving Average (30),0.00000149 0.79% ⋀,0.00000148 1.07% ⋀,0.00000147 1.72% ⋀,0.00000148 1.64% ⋀,0.00000148 1.05% ⋀,0.00000149 0.57% ⋀,0.00000154 -2.70% ⋁
Simple Moving Average (50),0.00000148 1.09% ⋀,0.00000148 1.32% ⋀,0.00000146 2.49% ⋀,0.00000148 1.26% ⋀,0.00000149 0.40% ⋀,0.00000150 -0.01% ⋁,0.00000155 -3.31% ⋁
Exponential Moving Average (50),0.00000149 0.98% ⋀,0.00000148 1.32% ⋀,0.00000147 1.80% ⋀,0.00000148 1.33% ⋀,0.00000149 0.37% ⋀,0.00000151 -0.46% ⋁,0.00000156 -3.76% ⋁
Simple Moving Average (100),0.00000148 1.32% ⋀,0.00000147 1.92% ⋀,0.00000148 1.25% ⋀,0.00000149 0.37% ⋀,0.00000151 -0.91% ⋁,0.00000157 -4.42% ⋁,0.00000159 -5.71% ⋁
Exponential Moving Average (100),0.00000148 1.29% ⋀,0.00000147 1.75% ⋀,0.00000148 1.42% ⋀,0.00000149 0.48% ⋀,0.00000152 -1.21% ⋁,0.00000153 -1.88% ⋁,0.00000161 -7.12% ⋁
Simple Moving Average (200),0.00000147 1.82% ⋀,0.00000146 2.47% ⋀,0.00000149 0.39% ⋀,0.00000151 -0.89% ⋁,0.00000157 -4.71% ⋁,0.00000155 -3.00% ⋁,0.00000177 -15.42% ⋁
Exponential Moving Average (200),0.00000147 1.75% ⋀,0.00000148 1.66% ⋀,0.00000149 0.90% ⋀,0.00000153 -2.10% ⋁,0.00000153 -1.72% ⋁,0.00000153 -2.05% ⋁,0.00000184 -18.43% ⋁
Summary,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 1 Down: 11 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),56.15NE,60.60NE,64.43NE,59.80NE,56.43NE,53.10NE,46.86NE
"Stochastic K (14,3,3)",50.00NE,75.00NE,83.33OB,94.44OB,77.78NE,33.33NE,14.18OS
Commodity Channel Index (20),58.52NE,110.43OB,152.05OB,169.42OB,80.46NE,-2.93NE,-75.30NE
Williams %R (14),0.00OB,0.00OB,0.00OB,0.00OB,0.00OB,-50.00NE,-80.85OS
"Bollinger Bands Upper / Lower (20,2,2)",0.000001490.00000149OB,0.000001480.00000148OB,0.000001480.00000148OB,0.000001470.00000147OB,0.000001470.00000147OB,0.000001490.00000149OB,0.000001540.00000154OS
Summary,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 2 OS: 0 NE: 3,OB: 1 OS: 0 NE: 4,OB: 0 OS: 3 NE: 2
