Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),2.0082 -0.18% ⋁,2.0132 -0.43% ⋁,1.9862 0.92% ⋀,1.9671 1.90% ⋀,1.9214 4.32% ⋀,1.8371 9.11% ⋀,1.7307 15.82% ⋀
Exponential Moving Average (10),2.0062 -0.09% ⋁,2.0085 -0.20% ⋁,1.9889 0.78% ⋀,1.9659 1.96% ⋀,1.9218 4.30% ⋀,1.8685 7.28% ⋀,1.8043 11.10% ⋀
Simple Moving Average (20),2.0091 -0.23% ⋁,2.0064 -0.09% ⋁,1.9595 2.30% ⋀,1.9000 5.50% ⋀,1.7897 12.01% ⋀,1.7713 13.17% ⋀,1.7273 16.05% ⋀
Exponential Moving Average (20),2.0095 -0.25% ⋁,2.0013 0.16% ⋀,1.9572 2.41% ⋀,1.9078 5.07% ⋀,1.8488 8.42% ⋀,1.7983 11.47% ⋀,1.8194 10.17% ⋀
Simple Moving Average (30),2.0167 -0.61% ⋁,1.9874 0.86% ⋀,1.9315 3.78% ⋀,1.8284 9.63% ⋀,1.7776 12.77% ⋀,1.7506 14.50% ⋀,2.0018 0.13% ⋀
Exponential Moving Average (30),2.0100 -0.27% ⋁,1.9922 0.62% ⋀,1.9263 4.06% ⋀,1.8654 7.46% ⋀,1.8068 10.94% ⋀,1.7660 13.51% ⋀,1.8373 9.10% ⋀
Simple Moving Average (50),2.0140 -0.47% ⋁,1.9696 1.77% ⋀,1.8589 7.83% ⋀,1.7687 13.33% ⋀,1.7245 16.24% ⋀,1.6683 20.15% ⋀,1.8971 5.66% ⋀
Exponential Moving Average (50),2.0054 -0.05% ⋁,1.9758 1.45% ⋀,1.8765 6.82% ⋀,1.8129 10.57% ⋀,1.7706 13.21% ⋀,1.7597 13.91% ⋀,1.8108 10.70% ⋀
Simple Moving Average (100),1.9843 1.02% ⋀,1.9464 2.98% ⋀,1.7666 13.46% ⋀,1.7154 16.86% ⋀,1.7015 17.81% ⋀,1.9068 5.12% ⋀,1.6029 25.05% ⋀
Exponential Moving Average (100),1.9900 0.73% ⋀,1.9372 3.48% ⋀,1.8015 11.27% ⋀,1.7588 13.97% ⋀,1.8014 11.27% ⋀,1.8017 11.26% ⋀,1.6559 21.05% ⋀
Simple Moving Average (200),1.9608 2.23% ⋀,1.8550 8.06% ⋀,1.7112 17.14% ⋀,1.6995 17.94% ⋀,2.0017 0.14% ⋀,1.8945 5.81% ⋀,1.3437 49.18% ⋀
Exponential Moving Average (200),1.9678 1.87% ⋀,1.8571 7.94% ⋀,1.7282 15.99% ⋀,1.8405 8.91% ⋀,1.8126 10.58% ⋀,1.7583 14.00% ⋀,1.5607 28.44% ⋀
Summary,Up: 4 Down: 8 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),46.59NE,53.32NE,65.75NE,73.18OB,73.74OB,70.11OB,55.78NE
"Stochastic K (14,3,3)",44.61NE,45.37NE,73.83NE,84.40OB,91.91OB,90.01OB,86.43OB
Commodity Channel Index (20),-56.51NE,-13.01NE,122.10OB,103.72OB,114.90OB,173.61OB,167.22OB
Williams %R (14),-45.98NE,-59.82NE,-32.27NE,-24.05NE,-11.56OB,-10.39OB,-7.39OB
"Bollinger Bands Upper / Lower (20,2,2)",2.03151.9868NE,2.05491.9578NE,2.03071.8883NE,2.07121.7287NE,2.08851.4908NE,2.01161.5309NE,2.03041.4243NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 4 OS: 0 NE: 1,OB: 3 OS: 0 NE: 2
