Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),1.8750 0.16% ⋀,1.8707 0.39% ⋀,1.8854 -0.39% ⋁,1.8824 -0.23% ⋁,1.8761 0.10% ⋀,1.8550 1.24% ⋀,1.9094 -1.64% ⋁
Exponential Moving Average (10),1.8742 0.20% ⋀,1.8703 0.41% ⋀,1.8777 0.01% ⋀,1.8787 -0.04% ⋁,1.8753 0.14% ⋀,1.8692 0.47% ⋀,1.9331 -2.85% ⋁
Simple Moving Average (20),1.8676 0.56% ⋀,1.8613 0.90% ⋀,1.8807 -0.14% ⋁,1.8706 0.40% ⋀,1.8589 1.02% ⋀,1.8891 -0.59% ⋁,2.0245 -7.23% ⋁
Exponential Moving Average (20),1.8705 0.40% ⋀,1.8710 0.37% ⋀,1.8776 0.02% ⋀,1.8730 0.27% ⋀,1.8780 0.00% ⋁,1.8838 -0.31% ⋁,2.0997 -10.56% ⋁
Simple Moving Average (30),1.8689 0.49% ⋀,1.8765 0.08% ⋀,1.8775 0.02% ⋀,1.8557 1.20% ⋀,1.8939 -0.84% ⋁,1.9102 -1.68% ⋁,2.3712 -20.80% ⋁
Exponential Moving Average (30),1.8688 0.49% ⋀,1.8740 0.21% ⋀,1.8745 0.19% ⋀,1.8726 0.29% ⋀,1.8884 -0.55% ⋁,1.9086 -1.60% ⋁,2.2361 -16.01% ⋁
Simple Moving Average (50),1.8594 1.00% ⋀,1.8871 -0.48% ⋁,1.8627 0.82% ⋀,1.8769 0.06% ⋀,1.9113 -1.74% ⋁,1.9371 -3.05% ⋁,2.5913 -27.53% ⋁
Exponential Moving Average (50),1.8692 0.47% ⋀,1.8771 0.05% ⋀,1.8715 0.35% ⋀,1.8810 -0.16% ⋁,1.9235 -2.36% ⋁,1.9874 -5.50% ⋁,2.3836 -21.21% ⋁
Simple Moving Average (100),1.8805 -0.14% ⋁,1.8793 -0.07% ⋁,1.8794 -0.08% ⋁,1.9110 -1.73% ⋁,1.9932 -5.78% ⋁,2.2530 -16.64% ⋁,2.4729 -24.06% ⋁
Exponential Moving Average (100),1.8735 0.24% ⋀,1.8747 0.17% ⋀,1.8802 -0.12% ⋁,1.9172 -2.04% ⋁,2.0835 -9.86% ⋁,2.1893 -14.22% ⋁,2.4564 -23.55% ⋁
Simple Moving Average (200),1.8818 -0.20% ⋁,1.8616 0.88% ⋀,1.9121 -1.79% ⋁,1.9947 -5.85% ⋁,2.4954 -24.74% ⋁,2.6047 -27.90% ⋁,2.4629 -23.75% ⋁
Exponential Moving Average (200),1.8766 0.07% ⋀,1.8659 0.65% ⋀,1.9091 -1.63% ⋁,2.0952 -10.37% ⋁,2.3111 -18.74% ⋁,2.3512 -20.13% ⋁,2.4430 -23.13% ⋁
Summary,Up: 10 Down: 2 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 3 Down: 9 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),61.45NE,52.68NE,50.71NE,51.39NE,48.70NE,46.68NE,36.73NE
"Stochastic K (14,3,3)",89.22OB,93.54OB,44.17NE,44.17NE,59.20NE,53.35NE,22.61NE
Commodity Channel Index (20),87.56NE,98.34NE,-11.47NE,34.91NE,39.85NE,-42.28NE,-83.36NE
Williams %R (14),-8.82OB,-6.00OB,-52.03NE,-52.03NE,-40.51NE,-44.14NE,-69.38NE
"Bollinger Bands Upper / Lower (20,2,2)",1.88621.8490NE,1.88881.8338NE,1.92601.8354NE,1.91421.8269NE,1.94061.7773NE,2.00811.7701NE,2.35441.6945NE
Summary,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
