Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.088293 -0.12% ⋁,0.087749 0.50% ⋀,0.087613 0.66% ⋀,0.087042 1.32% ⋀,0.085790 2.80% ⋀,0.083877 5.14% ⋀,0.082659 6.69% ⋀
Exponential Moving Average (10),0.088181 0.01% ⋀,0.087733 0.52% ⋀,0.087441 0.86% ⋀,0.086976 1.40% ⋀,0.085987 2.56% ⋀,0.084711 4.11% ⋀,0.084684 4.14% ⋀
Simple Moving Average (20),0.087680 0.58% ⋀,0.087036 1.33% ⋀,0.086667 1.76% ⋀,0.085120 3.61% ⋀,0.082847 6.45% ⋀,0.082666 6.68% ⋀,0.085436 3.22% ⋀
Exponential Moving Average (20),0.087899 0.33% ⋀,0.087465 0.83% ⋀,0.086645 1.78% ⋀,0.085509 3.13% ⋀,0.084332 4.58% ⋀,0.083414 5.73% ⋀,0.089904 -1.91% ⋁
Simple Moving Average (30),0.087728 0.53% ⋀,0.087334 0.98% ⋀,0.085808 2.78% ⋀,0.083580 5.52% ⋀,0.082817 6.49% ⋀,0.082552 6.83% ⋀,0.096186 -8.31% ⋁
Exponential Moving Average (30),0.087707 0.55% ⋀,0.087327 0.99% ⋀,0.085868 2.70% ⋀,0.084537 4.32% ⋀,0.083613 5.47% ⋀,0.083275 5.90% ⋀,0.096392 -8.51% ⋁
Simple Moving Average (50),0.087094 1.26% ⋀,0.087348 0.96% ⋀,0.084114 4.85% ⋀,0.082468 6.94% ⋀,0.082295 7.16% ⋀,0.082201 7.29% ⋀,0.118349 -25.48% ⋁
Exponential Moving Average (50),0.087500 0.79% ⋀,0.087020 1.35% ⋀,0.084691 4.13% ⋀,0.083523 5.59% ⋀,0.083600 5.49% ⋀,0.085027 3.72% ⋀,0.105196 -16.17% ⋁
Simple Moving Average (100),0.087398 0.91% ⋀,0.086143 2.38% ⋀,0.082384 7.05% ⋀,0.082115 7.40% ⋀,0.084332 4.57% ⋀,0.092421 -4.58% ⋁,0.116577 -24.35% ⋁
Exponential Moving Average (100),0.087227 1.10% ⋀,0.086070 2.46% ⋀,0.083300 5.87% ⋀,0.083270 5.91% ⋀,0.087890 0.34% ⋀,0.094863 -7.03% ⋁,0.110675 -20.32% ⋁
Simple Moving Average (200),0.086802 1.60% ⋀,0.083977 5.02% ⋀,0.082064 7.46% ⋀,0.084301 4.61% ⋀,0.100859 -12.56% ⋁,0.119124 -25.97% ⋁,0.108475 -18.70% ⋁
Exponential Moving Average (200),0.086674 1.75% ⋀,0.084226 4.71% ⋀,0.082606 6.76% ⋀,0.088084 0.12% ⋀,0.103098 -14.46% ⋁,0.106369 -17.09% ⋁,0.115268 -23.49% ⋁
Summary,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 3 Down: 9 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),57.45NE,57.26NE,61.95NE,66.80NE,67.51NE,65.55NE,43.91NE
"Stochastic K (14,3,3)",78.45NE,85.08OB,79.62NE,85.17OB,90.53OB,88.22OB,64.25NE
Commodity Channel Index (20),57.34NE,107.44OB,109.42OB,119.02OB,131.64OB,158.22OB,37.41NE
Williams %R (14),-25.19NE,-21.00NE,-19.74OB,-13.64OB,-7.23OB,-5.91OB,-5.33OB
"Bollinger Bands Upper / Lower (20,2,2)",0.0891710.086189NE,0.0888590.085213NE,0.0892400.084094NE,0.0896740.080566NE,0.0896760.076017NE,0.0881500.077182OB,0.0962060.074667NE
Summary,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 2 OS: 0 NE: 3,OB: 3 OS: 0 NE: 2,OB: 3 OS: 0 NE: 2,OB: 4 OS: 0 NE: 1,OB: 1 OS: 0 NE: 4
