Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00001409 -0.46% ⋁,0.00001402 -0.03% ⋁,0.00001393 0.65% ⋀,0.00001391 0.78% ⋀,0.00001390 0.86% ⋀,0.00001382 1.47% ⋀,0.00001382 1.45% ⋀
Exponential Moving Average (10),0.00001407 -0.39% ⋁,0.00001403 -0.07% ⋁,0.00001395 0.47% ⋀,0.00001393 0.65% ⋀,0.00001394 0.60% ⋀,0.00001392 0.72% ⋀,0.00001401 0.06% ⋀
Simple Moving Average (20),0.00001407 -0.35% ⋁,0.00001397 0.39% ⋀,0.00001390 0.84% ⋀,0.00001386 1.17% ⋀,0.00001392 0.73% ⋀,0.00001410 -0.54% ⋁,0.00001425 -1.62% ⋁
Exponential Moving Average (20),0.00001405 -0.24% ⋁,0.00001399 0.23% ⋀,0.00001392 0.75% ⋀,0.00001390 0.84% ⋀,0.00001394 0.55% ⋀,0.00001394 0.58% ⋀,0.00001427 -1.77% ⋁
Simple Moving Average (30),0.00001402 0.02% ⋀,0.00001395 0.54% ⋀,0.00001389 0.94% ⋀,0.00001382 1.48% ⋀,0.00001409 -0.53% ⋁,0.00001391 0.82% ⋀,0.00001485 -5.56% ⋁
Exponential Moving Average (30),0.00001403 -0.08% ⋁,0.00001396 0.41% ⋀,0.00001390 0.87% ⋀,0.00001391 0.76% ⋀,0.00001395 0.52% ⋀,0.00001396 0.40% ⋀,0.00001450 -3.30% ⋁
Simple Moving Average (50),0.00001397 0.34% ⋀,0.00001391 0.78% ⋀,0.00001382 1.44% ⋀,0.00001410 -0.54% ⋁,0.00001384 1.31% ⋀,0.00001389 0.93% ⋀,0.00001490 -5.92% ⋁
Exponential Moving Average (50),0.00001400 0.16% ⋀,0.00001393 0.61% ⋀,0.00001390 0.83% ⋀,0.00001393 0.62% ⋀,0.00001398 0.27% ⋀,0.00001408 -0.40% ⋁,0.00001486 -5.67% ⋁
Simple Moving Average (100),0.00001393 0.63% ⋀,0.00001390 0.87% ⋀,0.00001412 -0.69% ⋁,0.00001383 1.35% ⋀,0.00001416 -0.95% ⋁,0.00001457 -3.75% ⋁,0.00001586 -11.59% ⋁
Exponential Moving Average (100),0.00001396 0.46% ⋀,0.00001389 0.91% ⋀,0.00001391 0.76% ⋀,0.00001399 0.19% ⋀,0.00001424 -1.53% ⋁,0.00001439 -2.54% ⋁,0.00001556 -9.90% ⋁
Simple Moving Average (200),0.00001390 0.84% ⋀,0.00001382 1.45% ⋀,0.00001384 1.31% ⋀,0.00001416 -0.96% ⋁,0.00001493 -6.09% ⋁,0.00001494 -6.14% ⋁,0.00001684 -16.75% ⋁
Exponential Moving Average (200),0.00001392 0.68% ⋀,0.00001391 0.78% ⋀,0.00001395 0.51% ⋀,0.00001428 -1.80% ⋁,0.00001453 -3.52% ⋁,0.00001472 -4.73% ⋁,0.00001808 -22.46% ⋁
Summary,Up: 7 Down: 5 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),46.20NE,57.33NE,59.74NE,56.23NE,52.97NE,51.77NE,45.95NE
"Stochastic K (14,3,3)",45.93NE,79.57NE,83.15OB,64.99NE,77.75NE,17.18OS,17.95OS
Commodity Channel Index (20),-33.02NE,80.37NE,205.67OB,192.89OB,48.37NE,-31.28NE,-43.34NE
Williams %R (14),-100.00OS,-35.48NE,-31.43NE,-31.43NE,-20.75NE,-67.94NE,-80.00NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000014070.00001407OS,0.000013970.00001397OB,0.000013900.00001390OB,0.000013860.00001386OB,0.000014390.00001344NE,0.000014880.00001331NE,0.000015580.00001292NE
Summary,OB: 0 OS: 2 NE: 3,OB: 1 OS: 0 NE: 4,OB: 3 OS: 0 NE: 2,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 1 NE: 4
