Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),15.8990 0.19% ⋀,15.8930 0.23% ⋀,16.0050 -0.47% ⋁,16.0930 -1.01% ⋁,16.0510 -0.75% ⋁,15.9450 -0.09% ⋁,16.5050 -3.48% ⋁
Exponential Moving Average (10),15.8954 0.22% ⋀,15.8866 0.27% ⋀,15.9717 -0.26% ⋁,16.0323 -0.64% ⋁,16.0280 -0.61% ⋁,16.0268 -0.60% ⋁,16.4119 -2.94% ⋁
Simple Moving Average (20),15.8575 0.46% ⋀,15.8630 0.42% ⋀,16.0780 -0.92% ⋁,16.0475 -0.73% ⋁,15.8705 0.37% ⋀,16.2260 -1.82% ⋁,17.0060 -6.33% ⋁
Exponential Moving Average (20),15.8836 0.29% ⋀,15.9094 0.13% ⋀,16.0167 -0.54% ⋁,16.0323 -0.64% ⋁,16.1133 -1.14% ⋁,16.1920 -1.62% ⋁,17.2824 -7.83% ⋁
Simple Moving Average (30),15.8960 0.21% ⋀,15.9577 -0.17% ⋁,16.0667 -0.85% ⋁,15.9577 -0.17% ⋁,16.2417 -1.92% ⋁,16.7640 -4.97% ⋁,18.2740 -12.83% ⋁
Exponential Moving Average (30),15.8825 0.30% ⋀,15.9425 -0.08% ⋁,16.0190 -0.56% ⋁,16.0567 -0.79% ⋁,16.2236 -1.81% ⋁,16.3429 -2.53% ⋁,18.2335 -12.63% ⋁
Simple Moving Average (50),15.8420 0.56% ⋀,16.0336 -0.65% ⋁,16.0296 -0.62% ⋁,16.0220 -0.57% ⋁,16.6962 -4.59% ⋁,16.2596 -2.03% ⋁,20.3132 -21.58% ⋁
Exponential Moving Average (50),15.8975 0.20% ⋀,15.9911 -0.38% ⋁,16.0311 -0.63% ⋁,16.1640 -1.45% ⋁,16.4307 -3.05% ⋁,16.7004 -4.61% ⋁,19.8119 -19.59% ⋁
Simple Moving Average (100),15.9854 -0.35% ⋁,16.0945 -1.02% ⋁,16.0335 -0.65% ⋁,16.6687 -4.43% ⋁,16.8038 -5.20% ⋁,17.9730 -11.37% ⋁,23.7501 -32.93% ⋁
Exponential Moving Average (100),15.9547 -0.15% ⋁,16.0303 -0.63% ⋁,16.1601 -1.42% ⋁,16.4684 -3.27% ⋁,17.0594 -6.62% ⋁,17.8968 -10.99% ⋁,21.2401 -25.00% ⋁
Simple Moving Average (200),16.0677 -0.86% ⋁,16.0180 -0.55% ⋁,16.6474 -4.31% ⋁,16.8239 -5.31% ⋁,18.6543 -14.60% ⋁,20.4322 -22.03% ⋁,21.3850 -25.51% ⋁
Exponential Moving Average (200),16.0244 -0.59% ⋁,15.9287 0.01% ⋀,16.1453 -1.33% ⋁,17.3260 -8.06% ⋁,18.7094 -14.86% ⋁,20.5013 -22.30% ⋁,20.8876 -23.73% ⋁
Summary,Up: 8 Down: 4 Neutral: 0,Up: 5 Down: 7 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 1 Down: 11 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),56.39NE,49.80NE,47.07NE,46.05NE,45.49NE,45.07NE,40.18NE
"Stochastic K (14,3,3)",76.54NE,69.84NE,39.05NE,39.09NE,63.01NE,55.80NE,33.01NE
Commodity Channel Index (20),64.24NE,32.63NE,-102.38OS,-77.12NE,13.19NE,-45.78NE,-62.21NE
Williams %R (14),-14.81OB,-26.19NE,-55.71NE,-61.73NE,-41.32NE,-41.90NE,-67.80NE
"Bollinger Bands Upper / Lower (20,2,2)",15.986015.7290NE,16.061815.6642NE,16.377015.7790NE,16.300815.7942NE,16.556515.1845NE,17.570314.8817NE,20.036013.9760NE
Summary,OB: 1 OS: 0 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
