Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.0000200 -0.12% ⋁,0.0000201 -0.36% ⋁,0.0000201 -0.69% ⋁,0.0000202 -1.04% ⋁,0.0000202 -0.97% ⋁,0.0000202 -1.14% ⋁,0.0000206 -2.80% ⋁
Exponential Moving Average (10),0.0000200 -0.12% ⋁,0.0000200 -0.28% ⋁,0.0000201 -0.60% ⋁,0.0000201 -0.74% ⋁,0.0000202 -0.99% ⋁,0.0000203 -1.42% ⋁,0.0000205 -2.44% ⋁
Simple Moving Average (20),0.0000200 -0.29% ⋁,0.0000201 -0.57% ⋁,0.0000202 -1.01% ⋁,0.0000202 -0.92% ⋁,0.0000203 -1.58% ⋁,0.0000206 -3.09% ⋁,0.0000206 -2.80% ⋁
Exponential Moving Average (20),0.0000200 -0.27% ⋁,0.0000201 -0.52% ⋁,0.0000202 -0.81% ⋁,0.0000202 -1.11% ⋁,0.0000204 -1.97% ⋁,0.0000205 -2.44% ⋁,0.0000202 -1.00% ⋁
Simple Moving Average (30),0.0000201 -0.46% ⋁,0.0000201 -0.75% ⋁,0.0000202 -0.87% ⋁,0.0000203 -1.41% ⋁,0.0000207 -3.45% ⋁,0.0000209 -4.40% ⋁,0.0000198 0.95% ⋀
Exponential Moving Average (30),0.0000201 -0.39% ⋁,0.0000201 -0.68% ⋁,0.0000202 -0.95% ⋁,0.0000203 -1.57% ⋁,0.0000205 -2.66% ⋁,0.0000206 -2.94% ⋁,0.0000197 1.41% ⋀
Simple Moving Average (50),0.0000201 -0.64% ⋁,0.0000202 -1.17% ⋁,0.0000202 -1.09% ⋁,0.0000205 -2.49% ⋁,0.0000208 -4.01% ⋁,0.0000208 -3.93% ⋁,0.0000182 9.99% ⋀
Exponential Moving Average (50),0.0000201 -0.57% ⋁,0.0000202 -0.85% ⋁,0.0000203 -1.38% ⋁,0.0000205 -2.43% ⋁,0.0000207 -3.21% ⋁,0.0000206 -2.88% ⋁,0.0000190 5.09% ⋀
Simple Moving Average (100),0.0000202 -0.98% ⋁,0.0000202 -0.95% ⋁,0.0000205 -2.60% ⋁,0.0000208 -3.93% ⋁,0.0000208 -4.04% ⋁,0.0000204 -1.82% ⋁,0.0000183 9.17% ⋀
Exponential Moving Average (100),0.0000202 -0.82% ⋁,0.0000202 -1.02% ⋁,0.0000204 -2.21% ⋁,0.0000207 -3.43% ⋁,0.0000204 -2.18% ⋁,0.0000200 -0.05% ⋁,0.0000184 8.82% ⋀
Simple Moving Average (200),0.0000202 -1.13% ⋁,0.0000202 -1.20% ⋁,0.0000208 -3.93% ⋁,0.0000209 -4.18% ⋁,0.0000195 2.29% ⋀,0.0000182 9.72% ⋀,0.0000179 11.44% ⋀
Exponential Moving Average (200),0.0000202 -0.88% ⋁,0.0000203 -1.31% ⋁,0.0000207 -3.26% ⋁,0.0000205 -2.64% ⋁,0.0000194 3.20% ⋀,0.0000189 5.60% ⋀,0.0000199 0.24% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 8 Down: 4 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),41.26NE,37.83NE,41.93NE,41.49NE,41.02NE,42.47NE,50.59NE
"Stochastic K (14,3,3)",9.80OS,2.38OS,10.57OS,18.07OS,22.95NE,21.91NE,23.69NE
Commodity Channel Index (20),-102.45OS,-148.17OS,-149.09OS,-114.45OS,-122.26OS,-75.66NE,-58.75NE
Williams %R (14),-88.24OS,-92.86OS,-96.36OS,-87.95OS,-82.79OS,-87.27OS,-74.52NE
"Bollinger Bands Upper / Lower (20,2,2)",0.00002000.0000200OS,0.00002010.0000201OS,0.00002050.0000199NE,0.00002050.0000199NE,0.00002080.0000198NE,0.00002190.0000194NE,0.00002280.0000183NE
Summary,OB: 0 OS: 4 NE: 1,OB: 0 OS: 4 NE: 1,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 2 NE: 3,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5
