Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),191.56400 -0.02% ⋁,191.82300 -0.16% ⋁,191.46100 0.03% ⋀,191.52200 0.00% ⋁,190.86500 0.34% ⋀,190.97000 0.29% ⋀,186.95300 2.44% ⋀
Exponential Moving Average (10),191.62193 -0.05% ⋁,191.49140 0.01% ⋀,191.46366 0.03% ⋀,191.26041 0.14% ⋀,190.97991 0.28% ⋀,189.87567 0.87% ⋀,189.77882 0.92% ⋀
Simple Moving Average (20),191.80600 -0.15% ⋁,190.80350 0.38% ⋀,191.22350 0.16% ⋀,190.38950 0.59% ⋀,189.50650 1.06% ⋀,186.73850 2.56% ⋀,192.70550 -0.62% ⋁
Exponential Moving Average (20),191.57087 -0.03% ⋁,191.28080 0.13% ⋀,191.20219 0.17% ⋀,190.66364 0.45% ⋀,189.63962 0.99% ⋀,188.51710 1.59% ⋀,196.90568 -2.74% ⋁
Simple Moving Average (30),191.71200 -0.10% ⋁,191.03633 0.25% ⋀,190.60800 0.48% ⋀,190.99133 0.28% ⋀,187.14233 2.34% ⋀,186.69867 2.58% ⋀,206.88933 -7.43% ⋁
Exponential Moving Average (30),191.44702 0.04% ⋀,191.22616 0.15% ⋀,190.91243 0.32% ⋀,189.93305 0.84% ⋀,188.83570 1.42% ⋀,188.54786 1.58% ⋀,205.23988 -6.68% ⋁
Simple Moving Average (50),190.80940 0.37% ⋀,191.39580 0.06% ⋀,191.13060 0.20% ⋀,187.67300 2.05% ⋀,186.68840 2.59% ⋀,188.22520 1.75% ⋀,226.67000 -15.51% ⋁
Exponential Moving Average (50),191.28253 0.12% ⋀,191.16840 0.18% ⋀,190.19856 0.69% ⋀,188.83520 1.42% ⋀,189.08971 1.29% ⋀,191.07614 0.23% ⋀,218.42045 -12.32% ⋁
Simple Moving Average (100),191.11910 0.21% ⋀,190.95430 0.30% ⋀,187.50110 2.14% ⋀,186.57140 2.65% ⋀,191.39600 0.06% ⋀,202.38890 -5.37% ⋁,244.23320 -21.58% ⋁
Exponential Moving Average (100),191.15676 0.19% ⋀,191.17938 0.18% ⋀,188.79094 1.45% ⋀,188.80273 1.44% ⋀,194.81424 -1.69% ⋁,202.30376 -5.33% ⋁,232.90646 -17.77% ⋁
Simple Moving Average (200),191.21965 0.16% ⋀,191.18060 0.18% ⋀,186.56105 2.66% ⋀,191.54680 -0.01% ⋁,211.26730 -9.35% ⋁,227.60565 -15.85% ⋁,245.70805 -22.05% ⋁
Exponential Moving Average (200),190.82323 0.37% ⋀,190.00605 0.80% ⋀,188.57264 1.56% ⋀,195.69178 -2.13% ⋁,210.50778 -9.02% ⋁,221.32772 -13.47% ⋁,250.53471 -23.56% ⋁
Summary,Up: 7 Down: 5 Neutral: 0,Up: 11 Down: 1 Neutral: 0,Up: 12 Down: 0 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 2 Down: 10 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),50.38NE,51.63NE,52.31NE,54.12NE,56.90NE,55.26NE,41.00NE
"Stochastic K (14,3,3)",54.58NE,75.95NE,63.20NE,60.51NE,45.96NE,63.58NE,43.80NE
Commodity Channel Index (20),-33.79NE,42.62NE,34.55NE,80.25NE,53.91NE,65.85NE,-20.51NE
Williams %R (14),-37.91NE,-30.20NE,-43.32NE,-43.32NE,-55.39NE,-34.99NE,-41.74NE
"Bollinger Bands Upper / Lower (20,2,2)",193.33473190.27727NE,193.36573188.24127NE,193.48534188.96166NE,193.19949187.57951NE,196.85291182.16009NE,196.00924177.46776NE,209.38717176.02383NE
Summary,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5
