Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),0.00000036 0.28% ⋀,0.00000036 0.56% ⋀,0.00000036 -0.55% ⋁,0.00000036 -0.28% ⋁,0.00000036 0.28% ⋀,0.00000036 1.41% ⋀,0.00000036 0.56% ⋀
Exponential Moving Average (10),0.00000036 0.35% ⋀,0.00000036 0.29% ⋀,0.00000036 0.18% ⋀,0.00000036 -0.10% ⋁,0.00000036 0.05% ⋀,0.00000036 1.22% ⋀,0.00000036 -0.24% ⋁
Simple Moving Average (20),0.00000036 0.70% ⋀,0.00000036 0.70% ⋀,0.00000036 -0.14% ⋁,0.00000036 0.56% ⋀,0.00000036 0.84% ⋀,0.00000036 1.41% ⋀,0.00000037 -3.23% ⋁
Exponential Moving Average (20),0.00000036 0.50% ⋀,0.00000036 0.23% ⋀,0.00000036 0.17% ⋀,0.00000036 0.29% ⋀,0.00000036 0.41% ⋀,0.00000036 1.01% ⋀,0.00000037 -3.55% ⋁
Simple Moving Average (30),0.00000036 0.56% ⋀,0.00000036 -0.09% ⋁,0.00000036 0.47% ⋀,0.00000036 0.84% ⋀,0.00000036 0.84% ⋀,0.00000036 0.56% ⋀,0.00000039 -7.46% ⋁
Exponential Moving Average (30),0.00000036 0.55% ⋀,0.00000036 0.11% ⋀,0.00000036 0.34% ⋀,0.00000036 0.52% ⋀,0.00000036 0.40% ⋀,0.00000036 0.37% ⋀,0.00000038 -6.15% ⋁
Simple Moving Average (50),0.00000036 0.73% ⋀,0.00000036 -0.22% ⋁,0.00000036 0.78% ⋀,0.00000036 1.12% ⋀,0.00000036 0.50% ⋀,0.00000036 -0.77% ⋁,0.00000041 -12.41% ⋁
Exponential Moving Average (50),0.00000036 0.49% ⋀,0.00000036 0.02% ⋀,0.00000036 0.62% ⋀,0.00000036 0.60% ⋀,0.00000036 -0.22% ⋁,0.00000037 -1.37% ⋁,0.00000040 -9.75% ⋁
Simple Moving Average (100),0.00000036 -0.28% ⋁,0.00000036 0.19% ⋀,0.00000036 1.27% ⋀,0.00000036 0.39% ⋀,0.00000037 -2.60% ⋁,0.00000038 -5.96% ⋁,0.00000042 -14.51% ⋁
Exponential Moving Average (100),0.00000036 0.29% ⋀,0.00000036 0.20% ⋀,0.00000036 0.77% ⋀,0.00000036 -0.23% ⋁,0.00000037 -3.20% ⋁,0.00000038 -5.34% ⋁,0.00000044 -17.63% ⋁
Simple Moving Average (200),0.00000036 0.18% ⋀,0.00000036 0.80% ⋀,0.00000036 0.39% ⋀,0.00000037 -2.61% ⋁,0.00000040 -9.62% ⋁,0.00000041 -12.38% ⋁,0.00000053 -31.56% ⋁
Exponential Moving Average (200),0.00000036 0.33% ⋀,0.00000036 0.75% ⋀,0.00000036 -0.01% ⋁,0.00000037 -3.16% ⋁,0.00000039 -7.77% ⋁,0.00000039 -8.06% ⋁,0.00000052 -30.25% ⋁
Summary,Up: 11 Down: 1 Neutral: 0,Up: 10 Down: 2 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 6 Down: 6 Neutral: 0,Up: 1 Down: 11 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),52.48NE,50.51NE,50.80NE,51.37NE,51.52NE,51.27NE,40.99NE
"Stochastic K (14,3,3)",100.00OB,50.00NE,33.33NE,50.00NE,66.67NE,55.56NE,27.62NE
Commodity Channel Index (20),-3.88NE,6.94NE,-35.09NE,-12.35NE,15.87NE,84.25NE,-52.73NE
Williams %R (14),0.00OB,-50.00NE,-50.00NE,-50.00NE,-33.33NE,-33.33NE,-60.00NE
"Bollinger Bands Upper / Lower (20,2,2)",0.000000360.00000036OB,0.000000360.00000036OB,0.000000360.00000036OS,0.000000360.00000036OB,0.000000360.00000036OB,0.000000360.00000036OB,0.000000370.00000037OS
Summary,OB: 3 OS: 0 NE: 2,OB: 1 OS: 0 NE: 4,OB: 0 OS: 1 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 1 OS: 0 NE: 4,OB: 0 OS: 1 NE: 4
