Trend,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Simple Moving Average (10),164.85 -0.41% ⋁,165.43 -0.76% ⋁,165.60 -0.86% ⋁,164.69 -0.31% ⋁,163.82 0.22% ⋀,161.91 1.40% ⋀,157.80 4.05% ⋀
Exponential Moving Average (10),164.75 -0.34% ⋁,165.10 -0.56% ⋁,165.23 -0.64% ⋁,164.57 -0.23% ⋁,163.50 0.42% ⋀,162.34 1.13% ⋀,161.95 1.38% ⋀
Simple Moving Average (20),165.25 -0.65% ⋁,165.56 -0.83% ⋁,164.71 -0.32% ⋁,163.33 0.52% ⋀,160.52 2.28% ⋀,160.31 2.41% ⋀,164.65 -0.29% ⋁
Exponential Moving Average (20),165.13 -0.58% ⋁,165.42 -0.75% ⋁,164.74 -0.34% ⋁,163.31 0.53% ⋀,161.80 1.47% ⋀,160.60 2.23% ⋀,169.06 -2.89% ⋁
Simple Moving Average (30),165.68 -0.91% ⋁,165.72 -0.93% ⋁,164.26 -0.05% ⋁,161.60 1.60% ⋀,160.65 2.20% ⋀,158.56 3.55% ⋀,190.32 -13.74% ⋁
Exponential Moving Average (30),165.35 -0.71% ⋁,165.49 -0.79% ⋁,164.04 0.09% ⋀,162.27 1.18% ⋀,160.84 2.07% ⋀,160.46 2.32% ⋀,174.04 -5.66% ⋁
Simple Moving Average (50),165.73 -0.93% ⋁,165.86 -1.01% ⋁,162.50 1.03% ⋀,160.36 2.38% ⋀,157.99 3.92% ⋀,158.58 3.53% ⋀,187.63 -12.50% ⋁
Exponential Moving Average (50),165.55 -0.83% ⋁,165.32 -0.69% ⋁,162.75 0.88% ⋀,160.94 2.01% ⋀,161.08 1.93% ⋀,163.15 0.63% ⋀,175.49 -6.45% ⋁
Simple Moving Average (100),165.81 -0.99% ⋁,164.55 -0.22% ⋁,160.39 2.36% ⋀,157.75 4.08% ⋀,162.66 0.93% ⋀,179.22 -8.39% ⋁,160.97 1.99% ⋀
Exponential Moving Average (100),165.49 -0.79% ⋁,164.45 -0.16% ⋁,160.73 2.15% ⋀,160.61 2.22% ⋀,168.86 -2.77% ⋁,171.54 -4.29% ⋁,166.12 -1.17% ⋁
Simple Moving Average (200),165.00 -0.50% ⋁,162.45 1.06% ⋀,157.70 4.11% ⋀,162.71 0.90% ⋀,192.48 -14.70% ⋁,187.09 -12.24% ⋁,143.69 14.26% ⋀
Exponential Moving Average (200),165.05 -0.52% ⋁,162.30 1.16% ⋀,159.86 2.70% ⋀,170.44 -3.67% ⋁,175.43 -6.41% ⋁,172.24 -4.68% ⋁,164.15 0.02% ⋀
Summary,Up: 0 Down: 12 Neutral: 0,Up: 2 Down: 10 Neutral: 0,Up: 7 Down: 5 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 9 Down: 3 Neutral: 0,Up: 8 Down: 4 Neutral: 0,Up: 5 Down: 7 Neutral: 0
Overbought / Oversold,5 min,15 min,1 hour,2 hour,4 hour,6 hour,1 day
Relative Strength Index (14),30.27NE,37.61NE,49.67NE,55.80NE,56.68NE,56.19NE,45.64NE
"Stochastic K (14,3,3)",8.73OS,7.77OS,36.44NE,56.09NE,72.83NE,80.78OB,53.88NE
Commodity Channel Index (20),-145.58OS,-146.80OS,-21.94NE,34.57NE,75.01NE,116.14OB,6.14NE
Williams %R (14),-85.40OS,-94.58OS,-92.73OS,-54.44NE,-35.76NE,-24.37NE,-32.58NE
"Bollinger Bands Upper / Lower (20,2,2)",166.70163.80NE,167.08164.03NE,168.44160.97NE,167.39159.27NE,168.85152.20NE,167.46153.17NE,186.93142.37NE
Summary,OB: 0 OS: 3 NE: 2,OB: 0 OS: 3 NE: 2,OB: 0 OS: 1 NE: 4,OB: 0 OS: 0 NE: 5,OB: 0 OS: 0 NE: 5,OB: 2 OS: 0 NE: 3,OB: 0 OS: 0 NE: 5
